REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,73.2,72.7,72.4,72.4,72.6,72.6,73.0,73.1,73.4,,,,78.8,78.8,78.7
Dolnośląskie,80.7,79.9,79.5,79.6,79.7,79.6,79.8,79.6,79.4,,,,82.3,82.1,81.7
Kujawsko-Pomorskie,73.2,72.7,72.3,72.2,72.3,72.2,72.4,72.5,72.6,,,,79.4,79.5,79.5
Lubelskie,52.8,52.4,51.9,52.1,52.2,52.2,52.9,53.0,53.4,,,,70.4,70.9,71.3
Lubuskie,77.5,76.9,76.2,76.2,76.3,76.0,76.3,76.2,76.2,,,,82.2,82.1,81.9
Łódzkie,69.2,68.9,68.3,68.3,68.6,68.6,69.0,69.1,69.3,,,,78.9,79.0,79.1
Małopolskie,67.1,67.0,66.6,66.7,66.9,66.9,67.5,67.8,68.0,,,,75.6,75.4,75.3
Mazowieckie,81.0,80.6,80.2,80.1,80.3,80.2,80.4,80.5,80.8,,,,78.5,78.2,78.1
Opolskie,72.5,71.5,71.0,71.1,71.3,71.1,71.5,71.8,72.1,,,,80.3,80.4,80.6
Podkarpackie,58.0,57.7,57.1,57.3,57.4,57.3,58.0,58.3,58.8,,,,77.0,77.2,77.3
Podlaskie,57.9,57.6,57.2,57.3,57.6,57.6,58.2,58.5,59.2,,,,69.7,69.9,70.2
Pomorskie,78.6,78.0,77.7,77.7,77.9,77.7,77.7,77.9,78.1,,,,80.1,79.8,79.6
Śląskie,82.0,81.5,81.1,81.0,81.0,80.8,81.0,81.0,81.2,,,,85.4,85.4,85.1
Świętokrzyskie,56.8,56.2,55.7,55.7,55.6,55.8,56.1,56.6,57.1,,,,73.4,73.6,73.8
Warmińsko-Mazurskie,72.9,72.4,72.4,72.0,72.2,72.1,72.4,72.4,72.3,,,,79.4,79.5,79.5
Wielkopolskie,74.6,74.3,74.0,74.4,75.0,75.1,75.6,75.9,76.2,,,,78.9,78.9,78.8
Zachodniopomorskie,76.9,76.0,75.7,75.9,75.7,75.5,75.8,75.9,75.9,,,,80.1,80.1,79.9
