REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,3.5,4.0,4.4,4.6,4.5,4.0,3.7,3.4,3.3,3.5,3.4,,,4.3
Dolnośląskie,4.3,4.9,4.6,4.1,4.0,3.4,3.2,3.0,3.2,3.2,3.3,,,4.0
Kujawsko-Pomorskie,0.7,0.8,0.9,1.1,1.1,1.0,0.9,0.8,0.7,0.7,0.7,,,0.9
Lubelskie,2.5,2.4,2.7,3.0,2.8,2.4,2.2,2.0,2.0,2.0,2.0,,,2.2
Lubuskie,8.2,9.1,10.9,13.4,12.1,11.8,10.8,9.7,9.6,10.2,9.7,,,13.1
Łódzkie,0.8,0.9,1.0,1.1,1.2,1.0,1.0,0.9,0.9,0.9,1.0,,,1.2
Małopolskie,3.7,3.4,3.7,3.0,2.9,2.4,2.2,1.9,1.6,1.7,1.5,,,1.5
Mazowieckie,2.4,2.4,2.8,3.3,3.2,2.8,2.6,2.3,2.0,2.2,2.1,,,2.7
Opolskie,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,,,0.5
Podkarpackie,5.2,5.2,5.0,5.1,4.1,2.9,2.6,2.7,2.5,2.4,2.2,,,2.0
Podlaskie,4.1,4.9,5.2,5.9,6.0,5.3,5.0,5.0,4.8,4.7,4.8,,,8.1
Pomorskie,3.0,3.7,4.1,3.9,4.0,3.3,3.2,3.0,2.7,2.7,2.7,,,3.3
Śląskie,1.5,1.7,1.9,1.9,2.1,1.9,1.4,1.0,0.8,1.0,0.9,,,1.1
Świętokrzyskie,2.5,2.8,2.9,3.0,2.7,2.4,2.2,2.1,1.9,1.9,1.7,,,1.8
Warmińsko-Mazurskie,7.5,9.4,10.9,11.4,11.7,11.3,10.6,11.4,11.0,11.4,10.1,,,12.5
Wielkopolskie,1.8,2.2,2.3,2.4,2.3,2.0,1.7,1.4,1.5,1.6,1.7,,,2.1
Zachodniopomorskie,10.8,13.8,15.6,15.5,15.6,13.7,11.8,10.8,11.3,11.9,10.9,,,13.9
