REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,2.07,2.48,3.05,3.37,3.82,3.45,2.96,2.62,2.48,2.66,2.68,,,3.10
Dolnośląskie,2.77,3.23,3.61,3.36,3.59,3.04,2.65,2.36,2.46,2.47,2.56,,,3.33
Kujawsko-Pomorskie,0.57,0.62,0.69,0.85,0.96,0.89,0.75,0.58,0.53,0.63,0.57,,,0.61
Lubelskie,1.70,1.72,2.00,2.28,2.35,2.05,1.76,1.58,1.60,1.67,1.78,,,1.84
Lubuskie,4.41,4.93,6.53,8.70,10.11,10.06,8.16,6.99,6.87,7.17,6.75,,,7.93
Łódzkie,0.38,0.48,0.57,0.74,0.91,0.87,0.81,0.73,0.70,0.73,0.79,,,0.93
Małopolskie,3.00,2.96,3.29,2.72,2.67,2.17,1.90,1.64,1.35,1.41,1.25,,,1.26
Mazowieckie,1.29,1.52,1.95,2.42,2.68,2.32,2.02,1.75,1.49,1.72,1.70,,,1.98
Opolskie,0.43,0.30,0.35,0.49,0.51,0.45,0.46,0.44,0.51,0.45,0.58,,,0.37
Podkarpackie,4.08,4.19,4.31,4.43,3.60,2.52,2.19,2.20,2.08,2.06,1.96,,,1.82
Podlaskie,1.79,2.85,3.62,4.17,4.76,4.59,4.21,4.23,3.90,3.78,3.90,,,5.10
Pomorskie,1.61,2.22,2.84,2.86,3.44,2.89,2.59,2.20,1.95,2.31,2.31,,,2.44
Śląskie,0.88,1.04,1.47,1.48,1.89,1.63,1.19,0.80,0.62,0.74,0.72,,,0.77
Świętokrzyskie,1.80,2.10,2.29,2.55,2.37,2.20,1.90,1.72,1.62,1.61,1.41,,,1.46
Warmińsko-Mazurskie,3.41,4.92,6.52,7.26,9.03,9.35,8.38,8.57,8.02,8.63,7.92,,,9.01
Wielkopolskie,1.17,1.37,1.62,1.85,2.09,1.76,1.39,1.11,1.06,1.17,1.24,,,1.42
Zachodniopomorskie,6.76,8.18,10.36,11.77,13.91,12.39,9.56,8.19,8.00,8.54,8.24,,,9.95
