year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,6,5,5,8,5,6,7,5,7,8,6,5,5,8,6,5,5
2011,6,5,5,8,5,6,7,5,7,8,6,5,5,8,6,5,5
2012,6,5,5,8,5,6,7,5,7,8,6,5,5,8,6,5,5
2013,6,5,5,8,5,6,7,5,8,8,6,5,5,8,6,5,5
2014,5,5,5,7,5,5,6,5,7,8,6,4,4,8,6,5,5
2015,5,4,5,7,5,5,6,4,7,8,5,4,4,7,5,4,4
2016,5,4,5,7,5,5,7,5,7,8,6,4,4,8,6,5,5
2017,5,4,5,6,5,5,6,4,7,7,5,4,4,7,5,5,5
2018,4,4,4,6,4,4,5,4,6,6,4,3,4,6,5,4,4
2019,4,4,4,5,4,4,5,4,6,6,4,3,4,6,5,4,4
2020,4,3,4,5,4,4,5,4,5,6,4,3,4,6,5,4,4
2021,4,3,4,5,4,4,5,3,5,6,4,3,4,6,4,4,4
2022,4,3,4,5,4,4,5,3,5,6,4,3,4,6,4,4,4
2023,4,3,4,5,4,4,5,3,6,6,4,3,4,6,5,4,4
2024,4,3,4,5,4,4,4,3,5,6,4,3,3,6,4,4,4
