REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,25592,29522,30578,30724,31443,32649,33880,36886,39592,42077,41382,51266,67208,67835,64078
Dolnośląskie,30616,34443,36932,36407,37344,39198,40177,42326,44670,48423,52037,66360,81765,86423,78473
Kujawsko-Pomorskie,21341,23624,23754,23846,24332,26408,26014,28816,30980,32159,33592,40222,52369,49271,46164
Lubelskie,11247,13181,14044,14702,14973,15946,17180,17770,18662,20223,20224,25034,32603,32996,33374
Lubuskie,24047,25100,25240,25949,29236,29840,32317,34520,37296,39049,38844,48188,59346,57334,51237
Łódzkie,21787,25680,27765,27519,27987,29822,30434,32987,34979,35417,37763,45489,59361,64652,61686
Małopolskie,18989,22296,23728,22926,24265,25800,26547,28922,30614,34126,32863,42742,51706,53269,53294
Mazowieckie,37918,43439,45538,47351,47106,46246,46107,50499,57234,59796,58715,73849,108144,109783,101133
Opolskie,18334,20409,21123,21048,22042,24119,25460,28413,31476,33950,34103,43463,53932,52162,47918
Podkarpackie,14457,16633,17390,17939,17952,18538,20531,22458,23563,26511,25844,31895,42410,42180,43124
Podlaskie,13857,15979,16323,17493,18372,18435,19484,23322,24181,27129,28618,33119,44021,43727,43506
Pomorskie,27841,34179,36922,35369,36871,35704,37525,39988,42737,46815,40473,52251,62894,56839,56241
Śląskie,39353,44711,43466,41367,41573,44789,47248,51934,54864,55143,51430,63764,85688,86932,79559
Świętokrzyskie,16166,18845,18896,18544,19138,19126,19431,22575,25013,26662,27061,32530,41114,43481,40983
Warmińsko-Mazurskie,15294,18570,18797,19251,19522,20328,21795,23759,25131,26865,24043,29674,37109,35450,33687
Wielkopolskie,30161,34842,36173,38530,40699,42785,45735,49950,51734,56926,54412,63975,78464,80025,77486
Zachodniopomorskie,14969,18982,19742,19989,19934,22524,23292,24167,25984,28183,30029,35102,45964,42987,40461
