REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,37.6,35.1,32.2,30.2,28.3,26.8,29.4,29.3,29.4,27.0,22.6,19.4,16.5,13.9
Dolnośląskie,30.7,28.1,25.2,23.5,21.5,19.9,22.1,22.4,23.1,21.1,16.8,14.0,11.9,9.9
Kujawsko-Pomorskie,41.9,39.4,36.2,34.1,31.9,30.4,33.0,33.1,33.1,30.9,26.5,23.1,19.9,17.0
Lubelskie,46.9,44.5,41.3,39.1,37.2,35.9,38.8,38.5,37.6,34.4,29.8,25.7,21.9,18.5
Lubuskie,39.0,35.6,31.9,29.4,26.9,24.9,26.9,26.8,27.0,24.7,20.4,17.1,14.6,11.9
Łódzkie,39.3,37.0,34.1,32.2,30.1,28.6,31.5,31.3,31.3,27.9,23.5,19.7,16.6,14.0
Małopolskie,40.0,37.7,34.8,32.7,30.7,29.3,31.7,31.5,31.6,29.5,24.9,22.0,18.7,15.7
Mazowieckie,31.6,29.3,27.0,25.6,24.0,22.9,25.1,24.9,24.9,22.6,18.6,15.9,13.3,11.2
Opolskie,30.2,27.6,24.5,23.1,21.4,20.2,23.5,24.1,24.7,22.5,18.1,15.1,12.9,10.6
Podkarpackie,47.9,44.8,41.0,38.6,36.2,34.7,37.9,37.3,36.6,33.8,28.5,24.8,21.4,17.7
Podlaskie,44.2,41.8,38.4,36.4,34.6,33.2,36.6,36.8,36.7,33.3,28.4,24.5,21.0,18.1
Pomorskie,36.9,34.7,32.2,30.5,28.4,26.8,28.8,28.9,29.5,27.6,23.5,20.5,17.8,15.4
Śląskie,26.2,24.2,22.1,21.0,19.9,18.9,21.7,22.4,23.3,21.4,17.2,14.6,12.3,10.2
Świętokrzyskie,47.9,45.1,41.6,39.1,36.8,35.3,39.0,38.6,37.7,34.4,29.1,25.0,21.2,17.8
Warmińsko-Mazurskie,45.8,43.1,39.5,37.1,34.6,32.8,35.7,35.5,35.4,33.0,28.5,24.8,21.4,18.4
Wielkopolskie,39.1,36.4,33.3,30.9,28.6,27.1,29.7,29.6,29.5,27.1,22.7,19.4,16.4,13.8
Zachodniopomorskie,37.5,34.9,31.7,29.5,27.0,25.1,27.0,26.7,27.0,24.8,20.7,17.7,15.1,12.8
