REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,30.7,,26.5,,29.4,,38.6
Dolnośląskie,,,,,,,,,33.7,,30.9,,34.0,,42.8
Kujawsko-Pomorskie,,,,,,,,,29.3,,26.3,,29.1,,32.9
Lubelskie,,,,,,,,,27.3,,22.4,,26.4,,34.5
Lubuskie,,,,,,,,,36.1,,26.1,,32.6,,37.5
Łódzkie,,,,,,,,,27.4,,23.9,,25.5,,31.3
Małopolskie,,,,,,,,,33.9,,29.7,,34.5,,43.0
Mazowieckie,,,,,,,,,32.0,,25.3,,28.7,,42.6
Opolskie,,,,,,,,,31.8,,31.7,,33.5,,39.5
Podkarpackie,,,,,,,,,37.5,,31.7,,36.1,,42.0
Podlaskie,,,,,,,,,25.5,,22.3,,29.5,,33.7
Pomorskie,,,,,,,,,24.5,,22.4,,25.2,,42.3
Śląskie,,,,,,,,,31.1,,29.5,,29.2,,36.5
Świętokrzyskie,,,,,,,,,19.9,,16.1,,17.7,,27.8
Warmińsko-Mazurskie,,,,,,,,,25.5,,20.2,,23.0,,28.9
Wielkopolskie,,,,,,,,,34.2,,27.7,,30.3,,38.5
Zachodniopomorskie,,,,,,,,,30.0,,27.6,,29.2,,45.5
