REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,ogółem,,,,,,,,,,74.0,74.0,76.6,77.8,78.9,79.1
Dolnośląskie,ogółem,,,,,,,,,,76.6,76.5,78.2,78.9,81.1,81.6
Kujawsko-Pomorskie,ogółem,,,,,,,,,,72.9,73.2,75.7,78.2,78.7,79.1
Lubelskie,ogółem,,,,,,,,,,69.8,70.6,74.0,75.7,76.7,77.5
Lubuskie,ogółem,,,,,,,,,,73.7,74.5,75.3,76.9,79.1,78.5
Łódzkie,ogółem,,,,,,,,,,75.0,76.6,77.6,80.5,79.5,78.8
Małopolskie,ogółem,,,,,,,,,,71.7,71.3,74.4,74.8,76.4,77.1
Mazowieckie,ogółem,,,,,,,,,,78.5,77.7,80.9,82.3,83.2,82.9
Opolskie,ogółem,,,,,,,,,,74.9,75.3,79.6,78.4,79.1,80.8
Podkarpackie,ogółem,,,,,,,,,,66.4,67.3,69.0,69.1,71.4,72.7
Podlaskie,ogółem,,,,,,,,,,73.7,73.8,76.7,78.6,78.9,77.5
Pomorskie,ogółem,,,,,,,,,,77.1,76.2,78.0,79.2,80.0,80.6
Śląskie,ogółem,,,,,,,,,,72.9,72.5,74.5,76.3,77.7,77.5
Świętokrzyskie,ogółem,,,,,,,,,,69.2,71.4,74.9,76.6,76.7,77.2
Warmińsko-Mazurskie,ogółem,,,,,,,,,,68.9,69.4,74.0,74.2,75.5,76.6
Wielkopolskie,ogółem,,,,,,,,,,77.0,76.7,80.1,80.2,80.4,80.5
Zachodniopomorskie,ogółem,,,,,,,,,,72.6,72.7,74.6,76.4,78.3,78.8
Polska,mężczyźni,,,,,,,,,,77.7,78.0,80.2,81.0,81.7,81.9
Dolnośląskie,mężczyźni,,,,,,,,,,79.2,78.9,80.7,82.3,82.8,83.9
Kujawsko-Pomorskie,mężczyźni,,,,,,,,,,78.0,78.0,80.1,80.8,81.1,82.2
Lubelskie,mężczyźni,,,,,,,,,,72.5,73.3,76.6,78.2,79.5,80.0
Lubuskie,mężczyźni,,,,,,,,,,77.6,78.8,79.1,81.7,83.5,83.5
Łódzkie,mężczyźni,,,,,,,,,,77.9,79.4,80.2,82.2,82.0,81.1
Małopolskie,mężczyźni,,,,,,,,,,76.3,76.8,78.8,79.3,79.1,78.8
Mazowieckie,mężczyźni,,,,,,,,,,81.0,80.9,83.6,84.9,85.0,85.0
Opolskie,mężczyźni,,,,,,,,,,80.0,80.6,84.3,81.2,81.6,83.5
Podkarpackie,mężczyźni,,,,,,,,,,71.6,72.6,75.5,73.6,75.0,77.1
Podlaskie,mężczyźni,,,,,,,,,,76.9,77.1,79.1,80.9,82.3,80.6
Pomorskie,mężczyźni,,,,,,,,,,82.9,82.4,83.0,83.0,83.3,83.0
Śląskie,mężczyźni,,,,,,,,,,75.4,75.0,77.1,79.1,79.9,80.3
Świętokrzyskie,mężczyźni,,,,,,,,,,72.6,74.9,78.7,79.7,79.2,79.2
Warmińsko-Mazurskie,mężczyźni,,,,,,,,,,73.8,73.9,77.9,78.5,78.8,78.9
Wielkopolskie,mężczyźni,,,,,,,,,,82.1,82.7,85.0,83.8,85.6,84.9
Zachodniopomorskie,mężczyźni,,,,,,,,,,76.9,76.5,77.1,78.9,81.3,82.7
Polska,kobiety,,,,,,,,,,69.7,69.5,72.6,74.2,75.7,76.0
Dolnośląskie,kobiety,,,,,,,,,,73.8,73.7,75.3,75.1,79.2,79.0
Kujawsko-Pomorskie,kobiety,,,,,,,,,,67.0,67.6,71.0,75.1,76.0,75.5
Lubelskie,kobiety,,,,,,,,,,66.5,67.5,71.0,73.0,73.4,74.5
Lubuskie,kobiety,,,,,,,,,,68.8,69.1,70.8,71.5,74.0,72.9
Łódzkie,kobiety,,,,,,,,,,71.8,73.5,74.6,78.6,76.5,76.2
Małopolskie,kobiety,,,,,,,,,,66.6,65.2,69.6,70.1,73.4,75.3
Mazowieckie,kobiety,,,,,,,,,,75.6,74.2,78.0,79.4,81.3,80.7
Opolskie,kobiety,,,,,,,,,,68.9,68.8,74.3,75.2,76.1,77.5
Podkarpackie,kobiety,,,,,,,,,,60.2,61.2,61.3,64.0,67.1,67.6
Podlaskie,kobiety,,,,,,,,,,69.8,70.0,73.7,75.6,75.0,74.4
Pomorskie,kobiety,,,,,,,,,,70.7,69.5,72.4,75.0,76.7,77.9
Śląskie,kobiety,,,,,,,,,,70.1,69.6,71.6,73.0,75.3,74.3
Świętokrzyskie,kobiety,,,,,,,,,,65.1,67.2,70.6,72.9,73.9,74.5
Warmińsko-Mazurskie,kobiety,,,,,,,,,,63.1,64.2,69.2,68.9,71.7,73.9
Wielkopolskie,kobiety,,,,,,,,,,71.1,69.8,74.5,76.1,74.5,75.5
Zachodniopomorskie,kobiety,,,,,,,,,,67.7,68.2,71.8,73.6,74.9,74.3
