REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,127599,123954,126759,132289,133932,131586,137144,146911,153609,159815
Dolnośląskie,,,,,8831,9292,9488,9758,9981,9772,9957,10359,10615,11122
Kujawsko-Pomorskie,,,,,6801,6895,6605,7366,7457,7119,7249,7616,8195,8800
Lubelskie,,,,,11399,11089,11392,11205,11537,11482,11823,12577,13308,13539
Lubuskie,,,,,705,574,730,849,928,1048,1242,1429,1624,1769
Łódzkie,,,,,10387,10298,10632,10824,10919,11283,11609,12434,12198,12711
Małopolskie,,,,,12528,12128,12359,11551,11322,10671,10738,10761,10662,10738
Mazowieckie,,,,,17435,16618,16874,17629,18232,18183,19704,22011,24223,26055
Opolskie,,,,,2237,2139,2264,2450,2415,2367,2617,2796,2834,3094
Podkarpackie,,,,,4758,4326,4646,5018,4903,4851,5106,5731,5833,5896
Podlaskie,,,,,5738,5297,5347,6085,6365,6181,6398,7272,7624,7990
Pomorskie,,,,,7659,7372,7496,7859,7965,7841,8322,9017,9669,10425
Śląskie,,,,,14918,14674,15347,16622,17495,18017,18360,19742,21296,21990
Świętokrzyskie,,,,,3974,3670,3994,5133,4851,3337,3819,4301,4369,3911
Warmińsko-Mazurskie,,,,,2375,2418,2575,2843,2988,2520,2609,2777,2516,2356
Wielkopolskie,,,,,12677,12159,12115,12075,11553,12013,12505,12581,12923,13374
Zachodniopomorskie,,,,,5177,5005,4895,5022,5021,4901,5086,5507,5720,6045
