year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,50.6,52.1,43.0,45.1,68.2,38.6,46.2,62.5,46.4,26.4,76.5,69.1,38.1,42.7,55.2,53.9,43.7
2011,54.4,55.1,34.6,69.8,39.0,45.8,52.3,69.0,53.7,39.5,87.0,77.1,31.4,40.4,56.6,58.0,46.5
2012,60.9,57.1,45.9,81.7,76.3,46.3,56.6,76.5,60.4,41.2,90.4,86.0,41.1,60.7,65.4,60.4,49.8
2013,63.6,60.7,48.1,83.6,75.7,48.9,59.9,77.2,66.3,48.5,91.1,85.0,49.5,66.0,65.3,64.5,53.1
2014,68.0,67.0,50.7,89.9,74.9,51.6,63.0,78.4,69.9,55.9,91.1,85.5,57.1,72.2,78.5,71.4,61.1
2015,70.1,67.3,58.3,90.5,73.7,52.2,64.6,82.1,76.2,57.0,91.5,86.1,61.0,67.1,84.6,70.8,62.2
2016,72.2,70.1,64.4,91.9,76.9,52.7,57.6,85.1,76.9,59.7,92.4,87.3,65.4,70.2,86.8,72.1,63.6
2017,73.4,74.9,62.0,81.6,82.8,48.7,57.5,86.1,76.4,61.5,90.8,95.7,69.5,71.1,85.4,74.2,67.0
2018,77.8,80.0,68.3,88.2,86.2,51.2,75.9,86.9,77.3,79.1,93.6,96.4,70.5,82.4,88.2,77.6,69.9
2019,80.5,82.7,73.3,97.9,90.9,55.5,78.9,86.7,76.3,83.6,95.7,92.1,74.4,90.6,88.8,82.4,73.1
2020,82.1,83.3,75.1,86.5,90.7,61.4,82.1,86.9,76.3,86.4,96.5,97.1,77.5,81.2,88.8,86.4,72.6
2021,84.7,84.4,77.6,99.4,90.3,68.5,86.9,87.0,76.3,89.1,97.4,97.7,78.7,90.1,89.7,90.1,76.1
2022,85.6,84.9,79.9,99.6,87.7,70.6,88.0,88.2,78.2,88.2,99.5,97.4,79.4,97.4,90.7,90.8,76.5
2023,87.0,85.9,80.6,99.6,84.6,75.3,92.6,89.2,80.4,89.7,99.7,97.1,80.0,99.7,91.7,91.2,77.2
2024,89.8,87.2,81.7,99.3,84.6,81.3,93.8,89.4,81.0,90.7,99.7,97.4,91.6,99.7,96.7,90.8,77.9
