year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,27.2,18.2,23.6,22.3,21.2,33.1,21.5,37.4,20.5,29.4,36.2,24.5,24.7,53.9,28.7,20.9,37.9
2011,29.3,21.5,25.7,25.3,21.9,35.8,22.1,41.1,26.5,32.8,36.2,22.3,25.5,50.6,34.3,23.6,37.7
2012,29.6,24.4,24.3,28.3,22.0,30.4,22.7,40.2,19.1,38.4,35.8,18.8,28.5,42.0,28.6,27.2,38.1
2013,32.2,27.7,23.6,27.1,29.4,35.1,25.2,47.7,19.9,36.5,32.7,21.2,28.9,42.1,30.2,30.4,39.3
2014,33.6,28.1,25.3,27.4,28.1,35.3,24.7,47.1,25.5,43.2,38.9,23.5,30.1,43.8,33.0,32.1,42.8
2015,33.0,29.1,28.2,32.8,24.6,29.8,26.1,46.6,27.1,39.6,39.3,19.0,26.2,31.9,37.9,31.4,46.4
2016,32.9,29.7,31.2,30.4,32.1,24.2,19.6,50.4,27.3,38.8,31.3,21.8,21.1,32.6,31.2,30.2,51.2
2017,31.1,25.7,27.7,25.3,31.1,22.9,25.4,49.4,23.3,39.2,28.2,21.4,22.4,29.5,27.6,25.9,49.9
2018,31.2,24.2,30.6,27.7,32.7,20.4,25.7,47.7,26.0,40.7,27.4,20.8,23.8,33.7,26.1,28.7,47.4
2019,31.8,19.9,31.7,28.0,31.7,21.2,27.0,49.4,26.7,36.7,33.6,19.8,30.1,37.3,29.0,31.9,45.0
2020,33.0,24.4,31.7,31.4,30.8,25.7,26.6,47.2,32.0,37.9,28.4,19.6,33.9,43.4,26.8,34.2,47.4
2021,34.0,25.2,29.1,36.4,30.1,33.2,28.0,46.0,30.9,42.8,36.2,22.5,38.4,45.8,24.4,32.0,45.2
2022,33.6,23.8,35.2,33.4,35.3,26.6,26.0,47.6,25.3,40.9,34.6,24.0,31.9,36.9,21.2,33.6,47.2
2023,32.1,21.9,30.5,36.0,30.3,27.4,30.5,44.0,20.6,40.2,35.2,25.3,28.2,25.0,25.9,33.7,39.6
2024,33.5,22.6,35.9,26.7,29.1,28.7,27.4,47.7,24.9,33.6,32.7,26.9,34.4,26.1,25.0,36.1,47.6
