REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,,,,,,,,,,,,,,89.2
DOLNOŚLĄSKIE,,,,,,,,,,,,,,90.1
KUJAWSKO-POMORSKIE,,,,,,,,,,,,,,88.7
LUBELSKIE,,,,,,,,,,,,,,87.8
LUBUSKIE,,,,,,,,,,,,,,75.0
ŁÓDZKIE,,,,,,,,,,,,,,94.4
MAŁOPOLSKIE,,,,,,,,,,,,,,94.5
MAZOWIECKIE,,,,,,,,,,,,,,90.1
OPOLSKIE,,,,,,,,,,,,,,90.7
PODKARPACKIE,,,,,,,,,,,,,,91.1
PODLASKIE,,,,,,,,,,,,,,84.7
POMORSKIE,,,,,,,,,,,,,,87.9
ŚLĄSKIE,,,,,,,,,,,,,,89.0
ŚWIĘTOKRZYSKIE,,,,,,,,,,,,,,88.6
WARMIŃSKO-MAZURSKIE,,,,,,,,,,,,,,92.5
WIELKOPOLSKIE,,,,,,,,,,,,,,84.7
ZACHODNIOPOMORSKIE,,,,,,,,,,,,,,86.5
