year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,100.0,103.9,97.1,82.0,96.7,98.8,92.9,134.3,93.5,76.1,92.5,104.2,98.0,86.0,92.5,94.4,99.5
2011,100.0,104.6,90.4,83.6,97.0,98.1,94.3,132.3,96.3,76.4,99.8,104.9,99.1,86.6,89.4,92.5,100.3
2012,100.0,106.9,88.7,82.6,96.3,99.2,93.1,133.8,101.2,75.0,97.2,105.6,100.0,87.6,86.8,90.2,98.8
2013,100.0,103.5,90.0,85.1,95.3,99.8,94.5,130.1,92.3,76.8,96.9,110.4,101.5,88.8,85.4,92.9,96.7
2014,100.0,101.9,89.6,90.2,95.9,96.5,94.0,127.1,92.9,78.6,93.9,102.7,103.1,89.5,91.7,94.7,101.9
2015,100.0,106.2,89.9,88.5,102.4,98.3,94.2,126.7,93.0,78.0,90.7,99.6,102.5,86.8,92.4,92.9,102.9
2016,100.0,107.6,88.8,88.1,101.6,98.9,96.5,120.8,94.3,76.9,96.3,105.8,102.6,88.6,93.0,94.9,100.6
2017,100.0,101.8,91.1,89.9,99.6,98.0,93.4,119.6,94.5,78.5,99.2,103.2,103.0,89.6,93.6,100.5,103.4
2018,100.0,103.7,95.2,90.2,98.3,95.7,96.1,120.0,93.8,79.6,94.3,102.6,103.8,91.5,91.8,96.3,101.7
2019,100.0,107.5,97.3,85.6,98.6,99.5,97.5,115.9,92.8,80.9,95.7,102.2,104.3,89.4,87.8,99.3,99.0
2020,100.0,105.8,96.2,87.5,102.7,97.5,99.8,116.7,89.2,82.8,101.5,93.7,106.8,90.0,98.2,93.2,97.0
2021,100.0,107.3,93.7,92.5,103.1,101.2,98.9,118.8,82.0,82.6,97.2,89.0,105.7,90.4,100.4,91.2,98.4
2022,100.0,101.9,95.1,92.8,100.1,101.4,99.4,119.4,84.9,81.3,104.7,89.8,105.7,88.2,93.4,92.2,104.1
2023,100.0,102.3,94.6,91.9,102.5,95.4,104.2,119.8,0.0,85.2,100.1,85.6,108.0,90.3,90.7,93.2,104.6
