year,Polska,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-mazurskie__,Wielkopolskie__,Zachodniopomorskie__,Polska___,Dolnośląskie___,Kujawsko-pomorskie___,Lubelskie___,Lubuskie___,Łódzkie___,Małopolskie___,Mazowieckie___,Opolskie___,Podkarpackie___,Podlaskie___,Pomorskie___,Śląskie___,Świętokrzyskie___,Warmińsko-mazurskie___,Wielkopolskie___,Zachodniopomorskie___,Polska____,Dolnośląskie____,Kujawsko-pomorskie____,Lubelskie____,Lubuskie____,Łódzkie____,Małopolskie____,Mazowieckie____,Opolskie____,Podkarpackie____,Podlaskie____,Pomorskie____,Śląskie____,Świętokrzyskie____,Warmińsko-mazurskie____,Wielkopolskie____,Zachodniopomorskie____,Polska_____,Dolnośląskie_____,Kujawsko-pomorskie_____,Lubelskie_____,Lubuskie_____,Łódzkie_____,Małopolskie_____,Mazowieckie_____,Opolskie_____,Podkarpackie_____,Podlaskie_____,Pomorskie_____,Śląskie_____,Świętokrzyskie_____,Warmińsko-mazurskie_____,Wielkopolskie_____,Zachodniopomorskie_____,Polska______,Dolnośląskie______,Kujawsko-pomorskie______,Lubelskie______,Lubuskie______,Łódzkie______,Małopolskie______,Mazowieckie______,Opolskie______,Podkarpackie______,Podlaskie______,Pomorskie______,Śląskie______,Świętokrzyskie______,Warmińsko-mazurskie______,Wielkopolskie______,Zachodniopomorskie______,Polska_______,Dolnośląskie_______,Kujawsko-pomorskie_______,Lubelskie_______,Lubuskie_______,Łódzkie_______,Małopolskie_______,Mazowieckie_______,Opolskie_______,Podkarpackie_______,Podlaskie_______,Pomorskie_______,Śląskie_______,Świętokrzyskie_______,Warmińsko-mazurskie_______,Wielkopolskie_______,Zachodniopomorskie_______,Polska________,Dolnośląskie________,Kujawsko-pomorskie________,Lubelskie________,Lubuskie________,Łódzkie________,Małopolskie________,Mazowieckie________,Opolskie________,Podkarpackie________,Podlaskie________,Pomorskie________,Śląskie________,Świętokrzyskie________,Warmińsko-mazurskie________,Wielkopolskie________,Zachodniopomorskie________,Polska_________,Dolnośląskie_________,Kujawsko-pomorskie_________,Lubelskie_________,Lubuskie_________,Łódzkie_________,Małopolskie_________,Mazowieckie_________,Opolskie_________,Podkarpackie_________,Podlaskie_________,Pomorskie_________,Śląskie_________,Świętokrzyskie_________,Warmińsko-mazurskie_________,Wielkopolskie_________,Zachodniopomorskie_________,Polska__________,Dolnośląskie__________,Kujawsko-pomorskie__________,Lubelskie__________,Lubuskie__________,Łódzkie__________,Małopolskie__________,Mazowieckie__________,Opolskie__________,Podkarpackie__________,Podlaskie__________,Pomorskie__________,Śląskie__________,Świętokrzyskie__________,Warmińsko-mazurskie__________,Wielkopolskie__________,Zachodniopomorskie__________,Polska___________,Dolnośląskie___________,Kujawsko-pomorskie___________,Lubelskie___________,Lubuskie___________,Łódzkie___________,Małopolskie___________,Mazowieckie___________,Opolskie___________,Podkarpackie___________,Podlaskie___________,Pomorskie___________,Śląskie___________,Świętokrzyskie___________,Warmińsko-mazurskie___________,Wielkopolskie___________,Zachodniopomorskie___________,Polska____________,Dolnośląskie____________,Kujawsko-pomorskie____________,Lubelskie____________,Lubuskie____________,Łódzkie____________,Małopolskie____________,Mazowieckie____________,Opolskie____________,Podkarpackie____________,Podlaskie____________,Pomorskie____________,Śląskie____________,Świętokrzyskie____________,Warmińsko-mazurskie____________,Wielkopolskie____________,Zachodniopomorskie____________,Polska_____________,Dolnośląskie_____________,Kujawsko-pomorskie_____________,Lubelskie_____________,Lubuskie_____________,Łódzkie_____________,Małopolskie_____________,Mazowieckie_____________,Opolskie_____________,Podkarpackie_____________,Podlaskie_____________,Pomorskie_____________,Śląskie_____________,Świętokrzyskie_____________,Warmińsko-mazurskie_____________,Wielkopolskie_____________,Zachodniopomorskie_____________,Polska______________,Dolnośląskie______________,Kujawsko-pomorskie______________,Lubelskie______________,Lubuskie______________,Łódzkie______________,Małopolskie______________,Mazowieckie______________,Opolskie______________,Podkarpackie______________,Podlaskie______________,Pomorskie______________,Śląskie______________,Świętokrzyskie______________,Warmińsko-mazurskie______________,Wielkopolskie______________,Zachodniopomorskie______________,Polska_______________,Dolnośląskie_______________,Kujawsko-pomorskie_______________,Lubelskie_______________,Lubuskie_______________,Łódzkie_______________,Małopolskie_______________,Mazowieckie_______________,Opolskie_______________,Podkarpackie_______________,Podlaskie_______________,Pomorskie_______________,Śląskie_______________,Świętokrzyskie_______________,Warmińsko-mazurskie_______________,Wielkopolskie_______________,Zachodniopomorskie_______________,Polska________________,Dolnośląskie________________,Kujawsko-pomorskie________________,Lubelskie________________,Lubuskie________________,Łódzkie________________,Małopolskie________________,Mazowieckie________________,Opolskie________________,Podkarpackie________________,Podlaskie________________,Pomorskie________________,Śląskie________________,Świętokrzyskie________________,Warmińsko-mazurskie________________,Wielkopolskie________________,Zachodniopomorskie________________,Polska_________________,Dolnośląskie_________________,Kujawsko-pomorskie_________________,Lubelskie_________________,Lubuskie_________________,Łódzkie_________________,Małopolskie_________________,Mazowieckie_________________,Opolskie_________________,Podkarpackie_________________,Podlaskie_________________,Pomorskie_________________,Śląskie_________________,Świętokrzyskie_________________,Warmińsko-mazurskie_________________,Wielkopolskie_________________,Zachodniopomorskie_________________,Polska__________________,Dolnośląskie__________________,Kujawsko-pomorskie__________________,Lubelskie__________________,Lubuskie__________________,Łódzkie__________________,Małopolskie__________________,Mazowieckie__________________,Opolskie__________________,Podkarpackie__________________,Podlaskie__________________,Pomorskie__________________,Śląskie__________________,Świętokrzyskie__________________,Warmińsko-mazurskie__________________,Wielkopolskie__________________,Zachodniopomorskie__________________
year,Poland,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-mazurskie__,Wielkopolskie__,Zachodniopomorskie__,Poland___,Dolnośląskie___,Kujawsko-pomorskie___,Lubelskie___,Lubuskie___,Łódzkie___,Małopolskie___,Mazowieckie___,Opolskie___,Podkarpackie___,Podlaskie___,Pomorskie___,Śląskie___,Świętokrzyskie___,Warmińsko-mazurskie___,Wielkopolskie___,Zachodniopomorskie___,Poland____,Dolnośląskie____,Kujawsko-pomorskie____,Lubelskie____,Lubuskie____,Łódzkie____,Małopolskie____,Mazowieckie____,Opolskie____,Podkarpackie____,Podlaskie____,Pomorskie____,Śląskie____,Świętokrzyskie____,Warmińsko-mazurskie____,Wielkopolskie____,Zachodniopomorskie____,Poland_____,Dolnośląskie_____,Kujawsko-pomorskie_____,Lubelskie_____,Lubuskie_____,Łódzkie_____,Małopolskie_____,Mazowieckie_____,Opolskie_____,Podkarpackie_____,Podlaskie_____,Pomorskie_____,Śląskie_____,Świętokrzyskie_____,Warmińsko-mazurskie_____,Wielkopolskie_____,Zachodniopomorskie_____,Poland______,Dolnośląskie______,Kujawsko-pomorskie______,Lubelskie______,Lubuskie______,Łódzkie______,Małopolskie______,Mazowieckie______,Opolskie______,Podkarpackie______,Podlaskie______,Pomorskie______,Śląskie______,Świętokrzyskie______,Warmińsko-mazurskie______,Wielkopolskie______,Zachodniopomorskie______,Poland_______,Dolnośląskie_______,Kujawsko-pomorskie_______,Lubelskie_______,Lubuskie_______,Łódzkie_______,Małopolskie_______,Mazowieckie_______,Opolskie_______,Podkarpackie_______,Podlaskie_______,Pomorskie_______,Śląskie_______,Świętokrzyskie_______,Warmińsko-mazurskie_______,Wielkopolskie_______,Zachodniopomorskie_______,Poland________,Dolnośląskie________,Kujawsko-pomorskie________,Lubelskie________,Lubuskie________,Łódzkie________,Małopolskie________,Mazowieckie________,Opolskie________,Podkarpackie________,Podlaskie________,Pomorskie________,Śląskie________,Świętokrzyskie________,Warmińsko-mazurskie________,Wielkopolskie________,Zachodniopomorskie________,Poland_________,Dolnośląskie_________,Kujawsko-pomorskie_________,Lubelskie_________,Lubuskie_________,Łódzkie_________,Małopolskie_________,Mazowieckie_________,Opolskie_________,Podkarpackie_________,Podlaskie_________,Pomorskie_________,Śląskie_________,Świętokrzyskie_________,Warmińsko-mazurskie_________,Wielkopolskie_________,Zachodniopomorskie_________,Poland__________,Dolnośląskie__________,Kujawsko-pomorskie__________,Lubelskie__________,Lubuskie__________,Łódzkie__________,Małopolskie__________,Mazowieckie__________,Opolskie__________,Podkarpackie__________,Podlaskie__________,Pomorskie__________,Śląskie__________,Świętokrzyskie__________,Warmińsko-mazurskie__________,Wielkopolskie__________,Zachodniopomorskie__________,Poland___________,Dolnośląskie___________,Kujawsko-pomorskie___________,Lubelskie___________,Lubuskie___________,Łódzkie___________,Małopolskie___________,Mazowieckie___________,Opolskie___________,Podkarpackie___________,Podlaskie___________,Pomorskie___________,Śląskie___________,Świętokrzyskie___________,Warmińsko-mazurskie___________,Wielkopolskie___________,Zachodniopomorskie___________,Poland____________,Dolnośląskie____________,Kujawsko-pomorskie____________,Lubelskie____________,Lubuskie____________,Łódzkie____________,Małopolskie____________,Mazowieckie____________,Opolskie____________,Podkarpackie____________,Podlaskie____________,Pomorskie____________,Śląskie____________,Świętokrzyskie____________,Warmińsko-mazurskie____________,Wielkopolskie____________,Zachodniopomorskie____________,Poland_____________,Dolnośląskie_____________,Kujawsko-pomorskie_____________,Lubelskie_____________,Lubuskie_____________,Łódzkie_____________,Małopolskie_____________,Mazowieckie_____________,Opolskie_____________,Podkarpackie_____________,Podlaskie_____________,Pomorskie_____________,Śląskie_____________,Świętokrzyskie_____________,Warmińsko-mazurskie_____________,Wielkopolskie_____________,Zachodniopomorskie_____________,Poland______________,Dolnośląskie______________,Kujawsko-pomorskie______________,Lubelskie______________,Lubuskie______________,Łódzkie______________,Małopolskie______________,Mazowieckie______________,Opolskie______________,Podkarpackie______________,Podlaskie______________,Pomorskie______________,Śląskie______________,Świętokrzyskie______________,Warmińsko-mazurskie______________,Wielkopolskie______________,Zachodniopomorskie______________,Poland_______________,Dolnośląskie_______________,Kujawsko-pomorskie_______________,Lubelskie_______________,Lubuskie_______________,Łódzkie_______________,Małopolskie_______________,Mazowieckie_______________,Opolskie_______________,Podkarpackie_______________,Podlaskie_______________,Pomorskie_______________,Śląskie_______________,Świętokrzyskie_______________,Warmińsko-mazurskie_______________,Wielkopolskie_______________,Zachodniopomorskie_______________,Poland________________,Dolnośląskie________________,Kujawsko-pomorskie________________,Lubelskie________________,Lubuskie________________,Łódzkie________________,Małopolskie________________,Mazowieckie________________,Opolskie________________,Podkarpackie________________,Podlaskie________________,Pomorskie________________,Śląskie________________,Świętokrzyskie________________,Warmińsko-mazurskie________________,Wielkopolskie________________,Zachodniopomorskie________________,Poland_________________,Dolnośląskie_________________,Kujawsko-pomorskie_________________,Lubelskie_________________,Lubuskie_________________,Łódzkie_________________,Małopolskie_________________,Mazowieckie_________________,Opolskie_________________,Podkarpackie_________________,Podlaskie_________________,Pomorskie_________________,Śląskie_________________,Świętokrzyskie_________________,Warmińsko-mazurskie_________________,Wielkopolskie_________________,Zachodniopomorskie_________________,Poland__________________,Dolnośląskie__________________,Kujawsko-pomorskie__________________,Lubelskie__________________,Lubuskie__________________,Łódzkie__________________,Małopolskie__________________,Mazowieckie__________________,Opolskie__________________,Podkarpackie__________________,Podlaskie__________________,Pomorskie__________________,Śląskie__________________,Świętokrzyskie__________________,Warmińsko-mazurskie__________________,Wielkopolskie__________________,Zachodniopomorskie__________________
2010,1.37,1.28,1.38,1.58,1.22,1.51,1.33,1.50,1.14,1.31,1.61,1.18,1.51,1.48,1.29,1.01,1.40,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.09,0.07,0.05,0.09,0.07,0.09,0.07,0.07,0.07,0.07,0.19,0.18,0.19,0.19,0.17,0.21,0.17,0.21,0.19,0.19,0.16,0.17,0.22,0.20,0.20,0.18,0.19,0.03,0.03,0.03,0.05,0.02,0.04,0.04,0.03,0.02,0.04,0.04,0.03,0.03,0.04,0.03,0.02,0.04,0.18,0.19,0.18,0.16,0.09,0.22,0.19,0.20,0.16,0.14,0.18,0.16,0.25,0.21,0.15,0.13,0.15,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.03,0.04,0.02,0.04,0.05,0.06,0.04,0.02,0.04,0.16,0.14,0.13,0.34,0.23,0.14,0.18,0.13,0.13,0.20,0.30,0.09,0.11,0.16,0.17,0.07,0.19,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.05,0.04,0.05,0.06,0.05,0.05,0.04,0.07,0.04,0.06,0.05,0.05,0.07,0.06,0.05,0.04,0.04,0.01,0.00,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.05,0.06,0.05,0.04,0.05,0.05,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.04,0.03,0.03,0.06,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.03,0.04,0.04,0.04,0.02,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.08,0.09,0.10,0.07,0.06,0.12,0.08,0.09,0.06,0.08,0.09,0.09,0.08,0.07,0.08,0.06,0.08,0.10,0.08,0.10,0.10,0.12,0.12,0.09,0.10,0.10,0.09,0.11,0.08,0.11,0.10,0.11,0.09,0.14,0.05,0.03,0.06,0.05,0.04,0.06,0.06,0.07,0.04,0.04,0.08,0.05,0.05,0.06,0.05,0.03,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.05,0.07,0.02,0.04,0.07,0.06,0.06,0.06,0.03,0.04,0.05
2011,1.41,1.37,1.38,1.62,1.24,1.56,1.35,1.53,1.17,1.35,1.74,1.20,1.58,1.57,1.33,0.95,1.49,0.08,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.06,0.09,0.07,0.10,0.07,0.08,0.07,0.09,0.20,0.19,0.20,0.20,0.18,0.21,0.17,0.21,0.20,0.19,0.19,0.16,0.23,0.22,0.20,0.16,0.20,0.03,0.03,0.03,0.04,0.02,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.02,0.04,0.19,0.20,0.18,0.16,0.10,0.24,0.20,0.19,0.15,0.15,0.18,0.18,0.25,0.21,0.16,0.13,0.15,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.07,0.03,0.04,0.03,0.04,0.06,0.06,0.04,0.02,0.04,0.16,0.16,0.14,0.33,0.24,0.15,0.18,0.14,0.13,0.21,0.32,0.09,0.11,0.17,0.17,0.07,0.21,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.01,0.01,0.01,0.06,0.05,0.05,0.07,0.05,0.06,0.05,0.07,0.05,0.07,0.06,0.05,0.08,0.06,0.05,0.04,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.05,0.05,0.06,0.05,0.04,0.02,0.07,0.01,0.01,0.01,0.02,0.01,0.00,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.08,0.09,0.09,0.07,0.07,0.12,0.08,0.09,0.07,0.08,0.09,0.09,0.08,0.08,0.09,0.06,0.08,0.10,0.09,0.10,0.11,0.11,0.13,0.08,0.10,0.10,0.10,0.12,0.08,0.11,0.10,0.11,0.07,0.13,0.06,0.05,0.06,0.05,0.04,0.07,0.06,0.08,0.05,0.04,0.08,0.05,0.06,0.07,0.05,0.04,0.05,0.05,0.05,0.05,0.06,0.03,0.04,0.05,0.06,0.02,0.04,0.08,0.05,0.06,0.06,0.03,0.04,0.05
2012,1.52,1.46,1.53,1.71,1.40,1.64,1.46,1.80,1.26,1.44,1.78,1.29,1.59,1.60,1.46,1.05,1.54,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.10,0.08,0.10,0.07,0.09,0.08,0.10,0.22,0.21,0.22,0.22,0.21,0.21,0.19,0.25,0.21,0.20,0.22,0.18,0.24,0.23,0.25,0.18,0.23,0.04,0.03,0.03,0.05,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.04,0.03,0.02,0.04,0.19,0.21,0.19,0.16,0.12,0.23,0.21,0.23,0.17,0.16,0.18,0.18,0.24,0.20,0.15,0.13,0.17,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.04,0.02,0.02,0.02,0.03,0.02,0.03,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.08,0.05,0.04,0.03,0.04,0.06,0.06,0.04,0.03,0.04,0.17,0.16,0.15,0.34,0.25,0.18,0.18,0.15,0.12,0.21,0.33,0.11,0.12,0.19,0.19,0.09,0.17,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.06,0.05,0.06,0.08,0.05,0.06,0.05,0.08,0.05,0.08,0.05,0.05,0.07,0.06,0.06,0.04,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.05,0.06,0.06,0.05,0.05,0.06,0.04,0.06,0.04,0.04,0.04,0.05,0.06,0.05,0.04,0.03,0.07,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.02,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.03,0.04,0.02,0.04,0.03,0.04,0.04,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.08,0.09,0.10,0.06,0.07,0.11,0.08,0.10,0.07,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.10,0.09,0.10,0.11,0.12,0.12,0.09,0.11,0.10,0.10,0.12,0.07,0.11,0.10,0.11,0.08,0.12,0.06,0.04,0.06,0.05,0.05,0.07,0.07,0.09,0.05,0.05,0.08,0.04,0.06,0.07,0.05,0.04,0.05,0.06,0.06,0.06,0.07,0.04,0.04,0.05,0.08,0.02,0.05,0.08,0.07,0.06,0.06,0.05,0.04,0.06
2013,1.50,1.43,1.57,1.63,1.44,1.68,1.42,1.78,1.23,1.44,1.73,1.24,1.60,1.56,1.53,1.01,1.56,0.09,0.09,0.09,0.09,0.09,0.11,0.08,0.11,0.08,0.07,0.10,0.07,0.10,0.08,0.10,0.08,0.10,0.21,0.20,0.24,0.20,0.20,0.21,0.19,0.25,0.20,0.20,0.20,0.17,0.23,0.21,0.25,0.17,0.23,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.02,0.03,0.04,0.03,0.02,0.03,0.19,0.19,0.18,0.15,0.11,0.23,0.19,0.22,0.15,0.15,0.17,0.18,0.23,0.20,0.16,0.13,0.18,0.02,0.03,0.03,0.02,0.03,0.03,0.01,0.03,0.02,0.03,0.04,0.02,0.02,0.02,0.03,0.01,0.03,0.06,0.05,0.06,0.05,0.05,0.05,0.06,0.09,0.04,0.05,0.04,0.04,0.07,0.07,0.05,0.02,0.04,0.17,0.16,0.15,0.34,0.25,0.16,0.18,0.15,0.11,0.21,0.33,0.12,0.12,0.17,0.20,0.07,0.19,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.00,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.06,0.05,0.06,0.07,0.05,0.06,0.05,0.08,0.05,0.08,0.06,0.05,0.07,0.06,0.06,0.04,0.04,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.05,0.06,0.06,0.04,0.05,0.00,0.04,0.06,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.08,0.09,0.11,0.07,0.08,0.11,0.08,0.10,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.08,0.10,0.09,0.10,0.10,0.11,0.13,0.08,0.10,0.09,0.10,0.11,0.07,0.11,0.10,0.12,0.08,0.12,0.06,0.05,0.07,0.05,0.06,0.07,0.06,0.09,0.05,0.05,0.08,0.06,0.06,0.07,0.06,0.04,0.05,0.06,0.07,0.06,0.07,0.05,0.05,0.05,0.08,0.03,0.05,0.07,0.06,0.07,0.06,0.05,0.04,0.06
2014,1.55,1.53,1.61,1.60,1.42,1.80,1.45,1.82,1.25,1.45,1.73,1.35,1.65,1.62,1.53,1.09,1.55,0.10,0.10,0.10,0.09,0.09,0.12,0.09,0.10,0.08,0.07,0.10,0.10,0.11,0.08,0.09,0.09,0.10,0.22,0.22,0.25,0.20,0.21,0.24,0.19,0.25,0.21,0.20,0.20,0.19,0.24,0.23,0.24,0.18,0.23,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.18,0.20,0.18,0.14,0.09,0.24,0.18,0.22,0.15,0.14,0.16,0.17,0.23,0.18,0.16,0.13,0.16,0.02,0.02,0.03,0.02,0.02,0.03,0.01,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.01,0.02,0.06,0.06,0.06,0.05,0.05,0.06,0.08,0.09,0.05,0.06,0.04,0.05,0.08,0.08,0.05,0.03,0.05,0.17,0.17,0.15,0.34,0.25,0.18,0.19,0.16,0.11,0.21,0.33,0.13,0.12,0.17,0.20,0.09,0.18,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.05,0.04,0.05,0.06,0.04,0.06,0.05,0.06,0.05,0.07,0.05,0.05,0.07,0.06,0.06,0.04,0.04,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.05,0.06,0.05,0.04,0.05,0.07,0.04,0.07,0.05,0.04,0.04,0.05,0.06,0.05,0.05,0.03,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.09,0.09,0.10,0.07,0.08,0.12,0.08,0.10,0.07,0.09,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.10,0.09,0.10,0.10,0.11,0.13,0.08,0.11,0.10,0.09,0.11,0.07,0.11,0.10,0.11,0.08,0.12,0.06,0.05,0.06,0.05,0.06,0.07,0.06,0.09,0.05,0.05,0.08,0.05,0.06,0.06,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.07,0.02,0.05,0.08,0.06,0.07,0.06,0.05,0.04,0.06
