REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,10.0,9.9,10.4,10.6,9.2,7.7,6.3,4.9,3.9,3.3,3.2,3.4,2.9,2.8,2.9
Dolnośląskie,11.4,10.7,11.2,11.3,9.2,7.0,5.4,4.6,3.3,3.3,3.2,4.1,3.5,3.1,3.3
Kujawsko-Pomorskie,10.7,11.1,12.0,12.6,10.8,8.0,7.4,5.5,4.3,3.9,3.1,4.5,3.9,3.8,4.1
Lubelskie,10.4,10.9,11.0,10.9,10.2,9.5,8.2,7.3,6.4,5.5,5.7,5.2,4.8,3.9,3.3
Lubuskie,10.5,9.5,9.1,9.7,8.5,6.4,4.7,3.6,3.0,2.0,2.2,0.0,0.0,0.0,0.0
Łódzkie,9.6,9.6,11.4,11.4,9.1,7.9,5.7,4.6,4.4,3.7,3.1,4.5,3.4,3.9,3.4
Małopolskie,10.0,10.3,11.3,11.7,9.7,7.5,5.5,4.4,3.0,3.0,2.7,3.2,2.4,2.3,2.5
Mazowieckie,7.6,8.0,8.1,8.1,7.3,6.5,5.6,4.9,3.8,3.0,3.4,2.8,2.6,2.4,2.9
Opolskie,9.9,9.4,9.6,9.5,7.8,6.5,5.1,4.3,3.1,3.2,2.8,2.7,2.8,2.8,2.3
Podkarpackie,13.8,14.7,15.3,16.3,15.5,12.7,10.3,9.1,7.0,5.4,4.5,4.8,4.7,4.3,3.6
Podlaskie,10.6,9.5,9.7,10.2,9.4,7.2,7.0,4.8,3.2,3.1,2.9,3.2,2.5,2.3,2.9
Pomorskie,9.5,8.6,9.7,10.1,8.7,6.6,5.8,4.3,3.0,2.8,3.2,2.3,1.9,1.9,2.1
Śląskie,9.2,9.2,9.4,9.7,8.6,7.2,5.4,3.9,3.4,2.4,2.7,2.9,2.2,2.5,2.4
Świętokrzyskie,12.8,13.8,13.9,13.7,12.0,10.7,9.2,7.3,6.0,4.2,4.5,4.5,3.7,3.8,3.7
Warmińsko-Mazurskie,9.8,9.6,11.2,11.6,9.9,9.5,8.8,7.2,5.7,3.3,3.1,3.5,3.3,2.5,3.8
Wielkopolskie,8.9,8.8,8.6,8.9,7.8,5.9,4.9,3.2,2.2,2.6,1.8,2.3,2.0,2.8,2.3
Zachodniopomorskie,12.5,11.8,11.1,10.1,8.5,7.5,6.9,4.7,3.8,3.1,3.4,3.5,2.4,2.2,2.8
