year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,74.3,69.0,73.8,79.5,77.2,14.7,89.8,59.2,79.7,80.5,86.5,81.3,93.8,96.9,88.6,65.8,35.2
2011,71.8,69.0,83.9,60.8,95.0,16.6,91.5,53.2,82.9,94.8,90.7,89.9,87.5,97.5,84.5,66.5,51.1
2012,72.3,68.3,86.5,63.7,95.5,16.3,90.2,58.1,80.3,91.8,94.9,91.2,91.3,81.7,93.5,53.9,34.4
2013,69.4,67.3,46.1,52.0,95.8,18.4,92.2,59.2,87.2,93.4,82.9,92.3,90.5,51.3,92.1,51.2,38.2
2014,21.0,2.6,13.4,1.0,30.6,2.8,57.9,9.3,41.4,16.3,31.2,41.1,42.9,23.3,15.4,5.5,14.3
2015,21.9,2.8,9.8,1.2,26.1,8.9,61.5,10.0,50.8,7.3,35.0,28.2,42.9,44.5,13.5,6.4,12.5
2016,19.7,2.0,9.9,8.5,17.4,5.5,49.1,13.0,54.6,7.2,40.3,49.3,41.4,30.3,29.2,4.2,9.0
2017,18.9,2.6,20.8,1.3,13.9,7.9,54.0,13.6,48.7,13.7,30.2,45.1,38.4,13.3,11.8,7.0,10.9
2018,20.2,2.6,19.5,3.0,17.2,5.8,52.4,12.4,48.8,15.0,36.3,44.5,43.4,25.7,13.9,5.2,15.6
2019,20.4,2.9,22.3,2.1,25.4,5.4,55.5,13.6,46.7,12.1,31.5,20.8,44.7,19.3,8.8,4.6,10.1
2020,23.7,3.5,22.9,1.0,27.1,4.3,51.7,14.3,48.9,11.4,29.9,37.7,51.0,20.8,77.8,20.4,9.3
2021,20.6,4.2,21.1,0.9,25.4,4.8,44.2,10.8,55.4,10.3,58.3,38.2,46.0,12.9,57.9,24.7,8.7
2022,20.8,3.3,20.4,1.8,28.0,4.6,37.7,19.3,38.2,11.6,25.7,6.9,50.5,20.5,42.0,8.3,13.6
2023,22.6,3.0,13.3,2.2,29.9,9.7,33.9,9.1,40.4,8.8,24.7,29.2,54.9,29.3,21.0,6.2,11.3
2024,23.7,1.8,14.8,6.8,29.5,5.0,48.5,25.2,62.8,26.8,53.9,24.9,52.3,30.4,31.5,12.7,20.3
