year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,66.0,67.3,62.9,70.0,67.3,71.0,60.7,70.9,63.0,58.0,71.9,61.0,65.0,64.1,63.5,67.5,64.1
2011,65.3,67.7,62.4,68.5,67.9,69.5,61.9,70.8,63.0,55.6,69.8,61.8,65.9,61.3,60.0,65.4,61.1
2012,66.0,66.3,63.0,68.8,64.2,68.7,62.8,73.4,62.1,56.9,69.6,66.2,66.5,62.9,58.9,65.7,59.4
2013,65.5,67.7,60.7,66.9,64.5,69.0,63.3,73.5,62.4,56.8,70.3,65.0,65.6,63.2,58.8,64.7,59.6
2014,67.2,68.6,62.5,68.3,68.6,71.0,64.2,74.3,64.5,55.1,71.1,64.9,68.3,64.7,60.8,68.5,63.2
2015,65.8,69.0,64.2,63.4,64.7,69.2,62.0,72.9,63.3,56.5,68.9,64.9,64.5,58.2,59.0,69.1,61.1
2016,65.4,67.3,64.2,58.8,61.4,72.5,62.6,71.5,64.0,58.4,67.2,62.7,66.5,56.9,56.3,69.3,62.8
2017,64.6,64.9,55.7,58.4,66.1,71.9,60.1,70.4,59.6,59.6,68.3,64.6,69.5,56.9,53.2,67.2,62.6
2018,64.6,62.4,58.0,60.4,63.3,70.8,62.9,71.8,64.0,56.0,69.7,65.5,68.9,52.2,53.8,66.7,60.9
2019,68.3,74.1,65.6,65.8,67.7,70.9,63.3,74.4,65.3,60.5,68.8,68.5,68.1,66.7,59.2,70.3,65.9
2020,68.9,74.5,68.5,66.8,71.3,72.5,63.5,74.1,67.7,60.3,68.3,68.2,69.3,67.2,60.4,70.1,67.0
2021,69.7,76.0,65.7,68.0,66.7,67.9,70.7,73.7,70.2,58.3,73.4,72.9,69.0,65.4,63.5,71.5,66.7
2022,72.3,68.7,69.9,73.2,70.5,80.5,71.3,77.9,71.7,59.1,76.7,76.7,70.3,68.0,64.5,70.4,72.2
2023,74.1,76.2,77.7,73.7,75.6,73.9,71.7,80.0,76.1,61.4,75.9,78.5,70.0,66.7,67.2,74.7,79.2
2024,72.3,72.4,75.5,75.0,70.7,68.5,74.1,77.6,76.6,64.6,66.0,72.2,73.6,62.7,67.8,70.3,73.9
