REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,ogółem,268.9,277.2,268.6,262.5,266.2,261.6,263.8,251.3,245.6,229.7,219.2,232.8,237.2,210.1,214.1
Dolnośląskie,ogółem,145.40,146.40,141.00,136.10,135.70,135.80,138.40,131.30,136.50,128.50,113.30,119.50,125.30,119.90,127.40
Kujawsko-Pomorskie,ogółem,103.30,105.40,106.80,104.20,106.30,107.00,113.90,114.90,116.10,110.50,108.60,112.50,112.20,113.40,114.70
Lubelskie,ogółem,159.50,161.60,156.80,163.50,153.60,147.70,147.20,142.80,137.80,130.80,132.70,140.50,138.00,129.90,133.60
Lubuskie,ogółem,87.50,86.10,90.20,87.00,86.10,82.50,84.50,79.00,79.70,74.50,76.50,77.80,77.20,78.60,90.30
Łódzkie,ogółem,114.50,121.10,119.60,112.50,104.20,111.20,105.70,107.50,110.10,105.50,104.30,111.50,114.50,107.50,110.40
Małopolskie,ogółem,147.90,148.60,151.00,141.70,135.70,139.30,142.90,141.10,139.90,115.30,117.80,112.90,115.40,93.70,99.80
Mazowieckie,ogółem,525.90,514.70,519.80,507.90,550.90,521.40,513.00,486.60,456.30,452.50,441.60,506.20,517.60,437.60,444.00
Opolskie,ogółem,108.30,107.80,108.50,105.60,108.60,122.80,132.70,132.90,134.20,135.00,136.10,132.10,127.80,123.90,125.90
Podkarpackie,ogółem,127.70,130.30,113.20,119.00,115.50,125.30,111.00,108.80,105.70,113.20,106.40,71.20,94.10,103.50,111.90
Podlaskie,ogółem,65.90,66.90,69.90,69.20,71.70,73.50,73.80,71.40,74.90,75.00,76.10,75.70,76.60,79.50,79.80
Pomorskie,ogółem,88.60,97.10,88.30,82.20,82.00,86.90,87.50,82.30,85.90,79.40,77.50,80.20,82.10,77.80,81.40
Śląskie,ogółem,86.40,86.50,85.00,84.20,83.10,82.60,81.40,83.60,82.10,80.20,81.80,86.60,87.50,87.10,88.70
Świętokrzyskie,ogółem,1078.50,1061.10,1007.30,964.20,1045.00,1063.00,1129.30,1121.70,1224.10,1111.30,858.40,1040.40,1112.20,990.70,949.20
Warmińsko-Mazurskie,ogółem,88.60,89.40,86.60,84.20,86.60,85.90,83.60,83.80,83.70,85.20,73.50,76.10,74.90,74.60,74.70
Wielkopolskie,ogółem,447.30,521.90,491.00,498.00,479.70,433.40,472.60,405.00,390.00,370.60,364.60,352.60,345.20,250.60,271.70
Zachodniopomorskie,ogółem,935.20,983.90,919.90,874.80,835.00,865.70,816.70,785.40,700.20,564.40,579.50,571.60,548.10,550.50,539.70
Polska,miasto,191.0,207.9,201.6,197.7,194.4,185.7,187.0,174.5,173.7,164.5,164.9,169.2,171.9,148.1,154.0
Dolnośląskie,miasto,88.10,87.90,83.10,78.40,78.30,77.80,78.00,68.80,81.30,72.30,71.40,78.30,82.30,69.20,78.60
Kujawsko-Pomorskie,miasto,99.80,101.40,94.40,91.90,93.90,95.40,100.10,101.40,101.50,101.70,104.30,111.80,108.00,108.40,111.30
Lubelskie,miasto,148.80,156.30,149.30,159.10,150.60,153.20,151.80,147.90,142.70,138.10,136.80,144.00,142.50,130.10,135.70
Lubuskie,miasto,57.50,57.90,58.20,56.30,55.90,55.70,56.70,56.50,59.30,58.30,59.00,59.20,60.90,63.70,80.30
Łódzkie,miasto,55.20,55.00,54.30,53.30,51.90,53.90,53.70,54.20,56.50,56.90,56.70,57.20,57.70,57.20,58.30
Małopolskie,miasto,233.90,255.70,261.10,245.60,229.70,234.50,241.50,237.90,234.90,183.20,191.60,181.20,188.90,144.20,154.60
Mazowieckie,miasto,284.90,289.40,285.80,275.60,276.20,236.80,231.40,224.60,229.70,209.20,198.80,255.90,271.20,232.00,212.10
Opolskie,miasto,83.30,85.40,85.00,85.50,83.80,89.60,88.60,118.90,129.20,136.50,130.20,138.70,130.00,123.00,123.00
Podkarpackie,miasto,213.20,229.00,200.50,211.20,201.90,232.40,193.80,188.20,178.80,198.00,169.60,85.00,138.50,161.90,186.70
Podlaskie,miasto,54.40,54.30,53.20,52.00,53.30,53.80,53.90,54.40,57.20,56.80,56.80,57.50,57.10,59.30,60.20
Pomorskie,miasto,108.40,121.20,108.90,99.60,98.80,105.90,105.70,99.50,103.90,98.30,95.40,97.90,100.70,94.10,100.20
Śląskie,miasto,84.50,85.00,82.50,80.50,80.10,82.40,80.90,83.70,81.80,79.50,75.80,78.10,78.60,77.30,79.30
Świętokrzyskie,miasto,50.20,54.30,54.80,53.30,51.80,53.10,52.60,50.20,52.30,51.10,50.70,51.60,53.00,71.40,75.50
Warmińsko-Mazurskie,miasto,73.00,73.20,73.80,71.70,78.70,80.00,77.40,78.80,79.20,90.30,74.30,76.60,73.40,68.50,68.60
Wielkopolskie,miasto,709.80,847.40,792.80,809.20,776.90,699.80,760.20,639.40,615.70,591.90,587.90,563.00,551.80,375.70,413.70
Zachodniopomorskie,miasto,290.70,314.20,345.70,305.10,319.20,329.90,293.20,272.90,259.80,256.20,326.20,305.50,271.80,298.40,329.80
Polska,wieś,389.9,384.5,371.6,361.7,375.7,377.1,380.3,367.4,354.0,327.7,300.2,327.4,333.6,301.3,302.3
Dolnośląskie,wieś,279.20,282.20,274.20,267.40,265.40,266.20,273.10,269.50,257.80,250.80,202.50,206.60,215.20,225.10,227.60
Kujawsko-Pomorskie,wieś,108.80,111.50,125.60,122.80,124.90,124.20,134.20,134.70,137.40,123.10,114.70,113.60,118.10,120.40,119.60
Lubelskie,wieś,168.90,166.30,163.20,167.40,156.10,143.10,143.10,138.40,133.50,124.40,129.20,137.40,134.10,129.70,131.80
Lubuskie,wieś,139.90,135.10,145.40,139.80,137.80,132.40,136.20,120.60,117.60,104.40,108.70,111.60,106.70,105.50,108.10
Łódzkie,wieś,219.60,238.00,234.10,215.70,194.50,209.40,194.40,197.70,200.10,186.50,182.90,200.20,206.80,189.00,195.40
Małopolskie,wieś,64.50,45.10,45.30,42.70,46.70,49.50,50.30,50.40,51.40,52.10,49.40,49.80,47.90,47.40,49.50
Mazowieckie,wieś,958.30,918.50,939.20,923.90,1044.50,1033.30,1019.80,958.40,865.80,893.50,885.40,963.70,969.70,814.60,871.50
Opolskie,wieś,135.80,132.50,134.30,127.40,135.60,158.60,180.30,148.60,139.90,133.20,142.80,124.60,125.30,124.80,129.20
