REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,52.5,52.5,52.4,52.4,52.2,52.1,52.1,52.1,52.3,52.9,54.8,55.6,55.9,56.3,56.6
Dolnośląskie,62.8,62.7,61.8,61.7,61.4,61.3,61.2,61.2,61.2,61.1,60.5,61.9,61.9,61.8,61.7
Kujawsko-Pomorskie,44.7,44.4,45.0,44.8,43.0,42.7,42.9,42.6,42.7,43.4,45.3,45.6,45.5,45.6,45.4
Lubelskie,39.2,39.4,39.8,40.1,40.2,40.4,40.7,40.9,41.1,41.9,45.8,46.8,46.8,47.1,47.7
Lubuskie,52.6,52.6,52.3,52.3,51.7,51.9,51.9,52.8,52.9,53.3,55.7,56.5,56.5,58.0,58.4
Łódzkie,39.3,39.3,39.7,39.8,39.8,39.7,39.6,39.5,39.6,39.6,41.1,41.4,41.5,41.6,41.9
Małopolskie,63.1,63.2,63.0,62.8,62.5,62.3,62.3,62.1,63.2,63.6,65.3,66.3,67.2,67.6,68.1
Mazowieckie,54.6,54.5,53.5,53.7,53.6,53.5,53.3,53.0,52.9,53.4,55.8,56.4,56.4,56.7,57.0
Opolskie,41.6,41.6,42.0,42.0,41.9,41.9,41.9,42.1,42.1,42.4,44.5,45.7,46.0,46.6,46.4
Podkarpackie,71.9,71.8,72.6,72.6,72.5,72.3,72.2,72.2,72.5,72.7,76.5,77.6,77.6,78.5,79.0
Podlaskie,26.9,27.0,27.7,28.1,28.1,28.1,28.3,28.4,28.7,29.2,30.5,31.1,31.2,32.0,32.5
Pomorskie,50.9,50.8,49.9,49.2,49.3,49.1,49.2,49.2,49.0,50.3,50.6,51.5,51.4,51.7,52.0
Śląskie,61.4,61.3,62.6,62.5,62.4,62.3,62.2,62.3,62.6,63.2,65.3,66.3,66.8,67.1,67.0
Świętokrzyskie,36.5,36.5,36.5,36.6,36.5,36.7,36.8,37.0,37.1,37.7,40.8,41.8,43.0,43.1,43.5
Warmińsko-Mazurskie,43.5,43.3,43.1,42.8,42.8,42.7,42.6,42.5,43.1,42.6,43.3,43.6,43.3,43.6,44.3
Wielkopolskie,47.9,48.1,47.6,47.5,47.4,47.4,47.5,47.8,48.2,49.8,51.6,52.5,53.4,54.1,54.6
Zachodniopomorskie,60.8,60.8,59.7,59.6,59.1,59.1,59.1,59.2,59.2,59.5,61.4,62.4,63.1,63.8,64.2
