REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,349.6,352.6,356.1,359.9,363.4,367.3,371.3,375.7,380.5,385.9,398.8,405.2,412.4,419.3
Dolnośląskie,367.7,371.0,375.9,381.6,386.2,391.4,396.9,402.7,409.0,416.6,432.1,439.7,448.2,456.0
Kujawsko-Pomorskie,335.4,338.2,341.2,344.6,347.7,351.2,354.4,358.1,362.1,366.6,382.3,388.3,395.6,402.9
Lubelskie,336.4,340.1,343.9,348.3,352.0,355.9,359.9,364.2,368.9,373.6,382.4,388.7,395.5,402.1
Lubuskie,342.6,345.7,348.5,351.9,355.4,359.2,362.8,366.7,371.6,376.6,393.4,400.7,408.6,415.6
Łódzkie,383.9,387.1,391.2,394.9,398.4,402.6,406.3,410.4,414.9,420.5,430.6,437.9,445.9,453.4
Małopolskie,322.6,325.1,328.7,332.4,336.1,339.8,343.8,348.5,352.8,357.9,374.1,378.8,385.2,390.7
Mazowieckie,391.7,394.6,398.5,402.3,406.2,410.1,415.2,420.4,426.2,432.3,437.1,443.3,450.6,458.0
Opolskie,338.1,340.6,343.4,347.0,349.9,353.2,355.9,358.8,362.4,366.3,377.0,382.5,388.0,393.5
Podkarpackie,291.1,293.4,295.9,298.5,301.3,304.8,308.2,311.5,314.8,319.1,332.0,337.2,342.9,347.8
Podlaskie,349.3,353.4,357.6,361.9,366.1,370.8,375.2,379.9,384.8,390.8,397.5,404.5,411.7,419.2
Pomorskie,343.3,346.6,351.2,354.9,358.1,362.5,366.5,371.5,376.8,382.6,396.3,403.2,411.4,418.7
Śląskie,366.0,368.5,371.1,374.5,377.5,380.7,384.0,387.4,391.2,395.5,410.9,417.2,423.9,430.6
Świętokrzyskie,331.7,334.9,338.0,341.4,345.2,349.2,352.4,356.1,360.2,365.3,377.0,383.2,389.4,395.9
Warmińsko-Mazurskie,332.4,335.5,339.5,343.5,347.1,350.9,354.8,358.6,363.4,369.0,382.8,388.9,396.5,403.1
Wielkopolskie,322.6,325.3,328.5,331.5,334.9,339.0,342.8,347.2,352.2,357.8,372.8,379.5,386.9,393.6
Zachodniopomorskie,355.8,359.1,362.7,365.9,369.5,373.5,377.9,382.6,388.0,394.3,415.4,422.6,430.7,438.8
