REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,101,100,103,106,107,109,110,112,114,117,122,128,132,137,141
Dolnośląskie,114,112,116,119,121,123,124,127,129,132,136,142,148,153,159
Kujawsko-Pomorskie,89,88,90,91,92,93,93,94,95,98,103,107,109,112,116
Lubelskie,75,75,77,79,80,81,82,83,85,88,94,98,102,105,108
Lubuskie,104,102,105,108,108,109,110,111,112,116,122,127,130,134,139
Łódzkie,91,90,93,95,96,97,98,99,100,104,108,113,117,120,124
Małopolskie,99,99,102,104,106,108,110,112,115,120,124,130,135,140,146
Mazowieckie,129,128,132,136,139,143,147,150,151,158,161,168,176,184,191
Opolskie,97,96,98,100,100,101,101,102,102,105,111,114,117,120,123
Podkarpackie,72,71,73,75,76,78,79,80,82,85,90,94,98,101,104
Podlaskie,76,76,79,81,83,84,84,85,87,90,95,99,102,106,109
Pomorskie,114,113,116,118,120,122,124,126,127,131,135,141,146,152,157
Śląskie,97,96,98,100,101,102,102,103,104,107,112,117,120,123,127
Świętokrzyskie,85,83,85,87,87,88,89,90,92,94,100,104,108,111,114
Warmińsko-Mazurskie,82,81,83,84,85,86,87,87,89,93,98,102,105,108,111
Wielkopolskie,109,109,112,115,116,118,119,121,123,128,132,136,141,145,149
Zachodniopomorskie,128,125,126,128,128,129,129,131,132,135,141,145,149,153,157
