year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,376.24,339.5,362.5,253.1,360.6,382.8,311.1,354.8,389.4,366.2,311.7,474.7,366.7,549.9,358.6,316.1,753.2,180.25,11.58,8.17,6.72,3.84,13.22,9.95,20.91,5.42,10.25,4.25,13.78,24.45,9.64,6.64,14.25,17.21,58.82,4.76,4.38,2.39,2.25,2.87,7.15,9.86,1.12,2.61,1.95,4.0,3.6,2.02,1.97,3.7,4.22
2011,396.99,378.3,317.3,314.3,363.3,646.9,416.6,305.5,415.1,305.4,268.3,413.8,384.0,683.6,346.1,423.4,506.1,200.58,12.91,8.48,8.79,3.72,25.91,13.13,21.63,5.2,8.6,4.06,12.44,24.88,13.01,6.44,19.5,11.88,51.74,5.29,2.5,2.48,2.41,1.18,9.83,4.95,1.75,2.12,1.26,3.13,4.45,1.43,1.86,4.6,2.51
2012,335.18,321.2,278.6,300.5,287.1,497.2,333.8,236.7,461.1,294.2,295.8,348.8,381.9,590.2,346.6,301.8,296.7,167.08,10.41,7.64,8.86,3.41,19.66,11.59,16.25,5.57,7.77,5.11,8.69,24.14,11.37,6.96,13.27,6.4,45.99,5.03,2.01,1.9,1.44,1.08,6.87,4.42,2.13,2.56,0.75,4.46,4.97,1.05,1.34,3.95,2.03
2013,361.29,341.4,235.2,234.9,300.9,460.8,401.6,339.0,559.6,354.4,253.6,378.2,468.8,643.3,298.7,244.0,324.8,179.02,9.77,6.34,6.35,3.61,17.95,14.28,25.44,6.59,9.57,4.01,10.44,28.91,12.16,5.68,10.76,7.15,50.47,6.62,1.78,2.02,1.47,1.19,7.96,4.24,2.7,2.88,1.0,3.86,6.72,1.32,1.46,3.19,2.06
2014,469.02,634.5,390.8,385.1,475.5,421.8,520.4,483.1,660.8,258.5,369.9,400.9,570.0,596.8,269.0,490.8,379.1,235.06,17.64,10.95,11.55,6.01,15.89,20.1,35.48,7.16,5.88,6.17,12.55,37.25,11.39,4.28,23.67,9.09,62.71,12.81,2.53,2.12,2.0,1.56,8.78,6.96,3.77,3.2,1.11,2.66,5.95,1.07,2.14,4.42,1.65
2015,479.91,615.2,446.6,268.0,519.8,378.0,598.3,494.9,656.6,295.6,349.7,458.4,535.1,416.2,242.9,622.1,456.9,250.1,19.31,13.32,7.98,7.09,13.4,26.99,36.38,6.84,8.18,6.26,13.97,33.04,7.69,4.6,33.35,11.68,54.35,10.18,2.07,1.5,1.65,2.18,6.28,7.22,3.98,2.2,0.6,3.45,7.37,0.96,1.18,2.3,1.23
2016,213.58,227.1,180.2,85.9,204.3,242.7,271.8,227.8,421.5,138.1,115.4,199.2,308.3,177.4,76.2,190.7,190.6,107.51,5.18,5.25,2.35,3.1,8.98,12.42,16.55,4.5,3.61,1.86,6.64,18.65,3.36,1.39,9.09,4.59,27.89,5.7,0.95,0.68,0.32,0.99,2.72,3.58,2.41,1.23,0.4,0.96,4.56,0.31,0.42,1.85,0.78
2017,231.41,257.0,178.5,109.1,203.7,260.4,178.4,206.4,273.2,224.1,181.6,275.3,360.7,129.4,103.4,194.5,435.7,112.6,5.21,4.96,2.71,2.59,9.52,8.18,13.74,3.43,6.24,2.69,9.31,19.08,1.99,1.95,9.53,11.46,34.08,7.1,1.17,1.12,0.83,1.13,1.78,4.56,1.04,1.63,0.86,1.22,8.01,0.68,0.5,1.65,0.81
2018,334.78,390.1,238.2,401.3,263.0,340.4,287.0,336.8,349.9,329.3,360.8,319.9,420.4,289.8,170.8,293.9,425.8,171.44,11.48,6.91,12.46,3.67,12.26,13.62,24.37,4.48,9.72,5.13,10.01,24.61,4.72,3.15,14.27,10.56,40.71,7.19,1.26,1.58,0.73,1.62,2.46,5.58,1.23,1.84,1.9,2.28,6.88,1.23,0.88,2.65,1.41
