REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,691.30,706.56,692.45,695.57,668.63,676.62,674.33,684.15,681.86,634.59,595.31,669.93,651.14,550.35,535.79
Dolnośląskie,819.37,799.24,804.12,766.36,675.76,643.43,642.36,603.07,591.60,513.53,517.70,757.31,804.51,659.84,619.00
Kujawsko-Pomorskie,389.45,391.37,470.55,441.75,450.85,466.31,519.10,544.12,551.50,541.59,552.24,555.06,529.05,508.12,484.14
Lubelskie,206.83,222.06,211.98,188.25,197.88,199.03,202.89,201.80,202.53,198.49,196.58,196.12,230.38,193.89,202.35
Lubuskie,148.77,149.39,146.85,143.66,143.63,142.99,156.15,156.86,160.41,237.35,147.44,167.38,146.79,144.86,141.98
Łódzkie,1959.75,2192.10,2241.82,2358.03,2296.86,2319.71,2208.01,2371.67,2406.05,2097.41,1951.12,2145.03,2240.38,1734.95,1784.18
Małopolskie,689.98,722.83,696.95,724.59,674.32,714.09,662.56,719.75,690.46,592.53,461.18,503.67,466.25,417.47,381.87
Mazowieckie,829.81,803.77,782.99,805.85,799.68,803.41,809.13,819.10,889.51,915.14,861.21,940.58,937.54,797.43,768.75
Opolskie,1459.48,1483.95,1338.00,1297.07,1387.68,1314.31,1315.40,1367.51,1580.08,1466.34,1728.90,1869.56,1651.17,1574.67,1378.62
Podkarpackie,211.13,207.43,188.30,181.80,141.52,171.10,157.24,157.74,155.67,161.71,141.33,119.04,104.81,101.26,87.19
Podlaskie,80.08,81.54,73.31,97.83,99.80,97.99,109.38,102.30,101.04,105.81,101.78,108.81,95.24,90.05,87.58
Pomorskie,356.29,377.32,376.93,355.62,349.96,361.46,372.82,365.32,366.38,361.99,355.94,368.82,353.76,311.13,303.98
Śląskie,3518.20,3516.80,3311.90,3342.43,3020.77,3142.75,3135.32,3215.98,2942.49,2629.71,2368.47,2902.33,2636.04,2185.52,2173.48
Świętokrzyskie,1138.32,1183.36,1083.88,984.04,1030.77,1070.76,1197.86,1164.38,1304.09,1165.86,956.04,1255.33,1287.31,1064.45,1074.54
Warmińsko-Mazurskie,63.40,57.55,62.64,65.87,60.28,59.98,65.78,68.56,68.99,71.29,63.35,71.23,66.63,59.48,55.63
Wielkopolskie,563.30,559.98,561.46,575.64,547.27,546.69,517.23,484.38,384.65,365.38,324.06,317.39,269.66,205.42,209.73
Zachodniopomorskie,399.66,403.76,403.47,413.43,387.48,375.84,368.41,338.21,310.87,272.69,294.99,288.56,259.02,251.69,227.57
