REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,102.8,109.1,96.2,106.8,102.5,99.0,100.3,107.7,99.7,105.3,104.7
Dolnośląskie,,,,102.7,113.0,95.9,109.8,97.8,91.0,101.7,115.0,88.6,96.4,97.0
Kujawsko-Pomorskie,,,,111.7,109.1,91.4,110.6,99.6,96.5,97.8,113.7,93.4,108.7,93.5
Lubelskie,,,,101.3,106.7,94.0,116.7,100.9,96.8,95.6,106.9,96.7,101.5,94.4
Lubuskie,,,,101.5,108.1,91.4,103.0,97.2,88.8,102.1,105.1,120.2,90.1,87.9
Łódzkie,,,,97.3,123.8,88.6,110.5,96.7,96.1,97.6,120.6,94.6,111.4,97.4
Małopolskie,,,,85.0,117.6,90.2,115.1,94.5,100.5,95.1,107.3,88.6,96.7,60.5
Mazowieckie,,,,108.8,103.7,100.2,107.8,106.1,107.3,93.8,113.9,100.7,110.5,180.4
Opolskie,,,,99.1,109.3,93.0,107.6,93.7,104.1,100.2,110.9,100.4,95.6,107.1
Podkarpackie,,,,101.7,104.6,94.6,108.3,99.9,100.7,94.0,104.6,102.0,93.4,91.3
Podlaskie,,,,108.4,100.0,99.9,93.0,111.0,95.9,107.0,98.9,114.6,101.5,100.6
Pomorskie,,,,99.2,118.4,94.9,93.7,108.6,96.4,104.4,106.9,97.2,102.7,97.2
Śląskie,,,,91.8,103.1,99.6,116.0,98.4,102.8,117.3,91.8,94.6,88.5,98.6
Świętokrzyskie,,,,97.6,113.4,97.6,113.5,98.2,109.2,85.7,112.9,97.2,98.9,92.0
Warmińsko-Mazurskie,,,,94.5,108.5,98.9,105.0,104.5,95.2,102.0,112.2,102.7,118.7,174.1
Wielkopolskie,,,,106.7,107.5,99.8,104.8,107.3,97.3,107.7,95.8,102.4,106.6,98.0
Zachodniopomorskie,,,,103.9,114.3,96.5,96.2,96.9,93.9,112.1,112.8,107.2,117.5,92.0
