REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,1.62,1.49,1.36,1.29,1.23,1.15,1.00,0.93,0.83,0.71,0.59,0.58,0.53,0.42
Dolnośląskie,1.79,1.41,1.37,1.28,1.13,0.96,0.84,0.66,0.60,0.48,0.44,0.48,0.46,0.33
Kujawsko-Pomorskie,2.06,1.94,1.85,1.62,1.79,1.26,0.95,0.95,1.00,1.00,0.87,0.92,0.91,0.82
Lubelskie,1.27,1.12,0.97,0.95,0.89,0.92,0.81,0.80,0.68,0.63,0.63,0.58,0.52,0.44
Lubuskie,1.36,1.23,1.14,1.09,1.00,0.87,0.91,0.86,0.82,0.73,0.56,0.62,0.51,0.38
Łódzkie,1.66,1.55,1.36,1.26,1.10,1.12,0.91,0.94,1.01,0.78,0.67,0.67,0.65,0.48
Małopolskie,1.18,1.17,1.17,1.07,0.90,0.84,0.61,0.61,0.54,0.48,0.32,0.34,0.32,0.24
Mazowieckie,0.99,0.93,0.87,0.85,0.85,0.73,0.52,0.51,0.48,0.45,0.40,0.36,0.33,0.27
Opolskie,2.64,2.43,2.11,1.89,1.87,1.53,1.26,1.12,1.27,1.25,1.09,1.26,1.10,0.88
Podkarpackie,0.94,0.92,0.80,0.80,0.67,0.64,0.62,0.60,0.56,0.49,0.41,0.43,0.43,0.33
Podlaskie,0.91,0.81,0.77,0.73,0.78,0.77,0.69,0.59,0.58,0.56,0.43,0.43,0.38,0.31
Pomorskie,1.48,1.22,1.21,1.04,0.96,0.98,0.81,0.66,0.44,0.36,0.29,0.30,0.26,0.20
Śląskie,2.88,2.75,2.29,2.30,2.23,2.22,2.00,1.89,1.73,1.23,0.99,0.97,0.81,0.70
Świętokrzyskie,2.21,2.15,2.13,1.91,1.73,1.55,1.49,1.41,1.45,1.45,1.14,1.10,0.98,0.73
Warmińsko-Mazurskie,0.80,0.81,0.82,0.73,0.66,0.70,0.57,0.53,0.47,0.44,0.37,0.40,0.46,0.30
Wielkopolskie,1.63,1.50,1.34,1.29,1.34,1.41,1.41,1.14,0.61,0.55,0.49,0.41,0.39,0.28
Zachodniopomorskie,1.91,1.67,1.51,1.50,1.51,1.37,1.43,1.34,1.28,1.10,0.99,0.89,0.79,0.65
