year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,66,75,64,49,71,60,68,71,67,51,48,77,78,56,53,76,87
2011,66,75,64,49,72,61,68,71,67,51,48,77,77,55,54,77,85
2012,69,78,66,51,74,63,70,74,68,52,51,79,79,57,56,80,88
2013,71,81,69,53,78,65,72,77,71,54,53,82,81,59,58,83,90
2014,73,83,70,55,78,66,74,79,71,55,55,84,82,60,60,86,91
2015,74,85,71,56,77,67,75,81,72,57,56,87,83,61,61,88,93
2016,75,86,72,57,79,69,76,82,72,58,57,88,84,63,61,89,94
2017,77,89,73,58,80,70,78,84,73,59,58,91,85,64,63,91,95
2018,80,93,76,61,83,73,82,88,74,62,60,95,87,67,66,95,98
2019,84,98,80,64,88,77,87,92,78,65,64,99,91,70,70,100,103
2020,89,102,85,69,93,81,90,95,83,69,69,103,95,75,76,104,110
2021,93,107,89,73,98,85,95,100,86,72,72,108,99,79,80,109,114
2022,97,112,92,76,101,89,99,104,89,75,76,112,102,82,84,113,118
2023,101,116,95,80,105,92,103,109,92,78,79,117,105,84,87,117,122
2024,104,121,99,83,108,95,106,114,95,81,83,121,109,87,91,121,127
