REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,1.1,,1.1,,1.2,,1.2,,1.2,,1.1
Dolnośląskie,,,,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1
Kujawsko-Pomorskie,,,,,1.1,,1.1,,1.0,,1.1,,1.0,,0.9
Lubelskie,,,,,1.3,,1.3,,1.3,,1.4,,1.5,,1.4
Lubuskie,,,,,1.4,,1.4,,1.5,,1.6,,1.8,,1.3
Łódzkie,,,,,1.3,,1.4,,1.5,,1.4,,1.4,,1.3
Małopolskie,,,,,1.0,,1.0,,1.1,,1.1,,1.0,,1.0
Mazowieckie,,,,,1.0,,1.1,,0.9,,1.0,,1.0,,0.8
Opolskie,,,,,1.3,,1.3,,1.6,,1.7,,1.6,,1.4
Podkarpackie,,,,,1.1,,1.2,,1.4,,1.4,,1.6,,1.3
Podlaskie,,,,,1.2,,1.1,,1.1,,1.2,,1.2,,0.9
Pomorskie,,,,,1.1,,1.0,,1.0,,1.1,,1.1,,1.0
Śląskie,,,,,1.1,,1.0,,1.1,,1.1,,1.0,,0.9
Świętokrzyskie,,,,,1.2,,1.5,,1.3,,1.5,,1.2,,1.4
Warmińsko-Mazurskie,,,,,1.2,,1.1,,1.1,,1.1,,1.2,,1.1
Wielkopolskie,,,,,1.2,,1.1,,1.3,,1.3,,1.4,,1.1
Zachodniopomorskie,,,,,1.2,,1.1,,1.1,,1.2,,1.3,,1.1
