REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,5641,6316,6167,6004,6516,7069,6361,6712,7879,8361,8106,8992,10577,12254,11785
Dolnośląskie,6155,6916,6729,7092,7602,7800,7562,8358,9960,11590,10333,10468,11641,12212,11637
Kujawsko-Pomorskie,5064,5392,4561,4434,5310,6692,4338,4736,5851,5848,6361,7072,8456,9273,8909
Lubelskie,3799,4751,4543,4509,4887,4837,3517,4145,5361,6040,6178,6287,6994,8839,8621
Lubuskie,7329,7810,5644,5168,4712,5762,5573,5426,6207,6252,5992,8041,8830,12130,10402
Łódzkie,5382,6641,7165,6680,6469,6980,5744,5792,6723,7435,7026,7666,8701,10666,9139
Małopolskie,4811,5431,5468,5231,5554,6277,5430,5669,6627,7114,7029,7887,9255,10186,9636
Mazowieckie,8244,8680,8781,8908,10316,10868,10533,10802,12601,13477,12738,14828,17804,20631,20911
Opolskie,4590,4628,4266,4746,5717,8062,8292,6809,7251,7958,6939,7588,9158,11626,11362
Podkarpackie,4837,6306,5902,5643,5339,5172,4659,5136,6407,6773,6291,7111,7365,9751,9442
Podlaskie,4194,5423,4585,4610,5758,5754,4174,5381,6565,7157,7300,8432,10039,11425,10553
Pomorskie,5753,6118,6496,6031,6574,7277,6882,7399,8372,7336,7411,8485,9497,12138,12336
Śląskie,5672,6506,5988,6002,6274,6445,6367,6614,7492,8198,7507,7716,9992,11804,10896
Świętokrzyskie,5250,5242,5090,3895,3913,4624,3505,3883,4586,4999,5032,5602,6701,8157,7967
Warmińsko-Mazurskie,4503,5334,5190,4275,4634,5587,4941,5075,6572,5882,5981,6925,7894,9023,7741
Wielkopolskie,5487,6038,6093,5450,6452,7291,6770,6960,7985,8522,7900,8918,10448,11364,10870
Zachodniopomorskie,4816,5092,5741,6249,6091,6383,4719,5917,6940,6695,8965,9462,11667,11682,11426
