year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2015,283,340,284,180,328,263,236,311,279,196,241,305,332,166,271,308,337
2016,303,361,287,196,346,275,289,328,296,210,245,329,355,184,302,326,355
2017,312,374,306,207,360,285,297,331,317,218,235,346,352,188,295,343,374
2018,325,394,320,222,361,319,316,336,327,234,253,355,367,201,308,351,377
2019,332,404,332,234,380,333,317,321,339,242,283,372,376,232,306,355,391
2020,344,398,350,253,391,351,329,340,387,239,292,352,402,261,311,357,388
2021,360,435,362,265,408,364,343,358,397,250,304,386,409,275,325,370,409
2022,355,422,357,256,398,356,337,358,382,243,296,383,393,275,320,381,412
2023,357,415,357,257,409,356,346,371,384,244,295,372,390,283,309,390,401
2024,377,438,373,278,441,375,366,396,418,263,305,398,409,294,329,401,423
