year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,78.3,76.1,72.4,79.3,71.4,76.2,87.0,81.1,75.0,83.9,82.8,77.8,81.0,78.9,69.0,78.4,71.7
2011,78.3,78.3,77.8,76.3,73.1,76.7,83.3,82.5,76.2,80.7,79.3,75.5,77.8,79.5,69.8,79.7,68.4
2012,77.8,74.2,78.4,79.6,75.0,72.6,85.7,81.5,75.0,79.6,80.8,73.1,76.9,85.3,70.5,76.1,72.5
2013,78.5,74.1,75.0,80.0,73.1,76.6,87.1,81.8,84.2,80.4,80.0,72.2,80.4,84.6,69.8,78.4,73.2
2014,79.1,72.7,74.5,81.8,69.6,73.8,80.7,79.4,80.0,83.0,84.0,80.0,85.1,86.7,70.0,82.6,71.1
2015,79.2,70.2,75.5,83.7,77.3,79.3,83.1,82.2,85.0,87.0,87.5,76.5,80.2,83.3,69.2,75.0,69.7
2016,79.5,67.2,73.9,85.0,70.8,83.3,85.2,85.7,85.0,86.0,81.8,73.9,81.3,84.6,69.2,80.6,68.3
2017,80.9,84.0,68.8,83.3,73.9,81.3,85.2,83.3,89.5,87.5,85.7,79.1,81.6,88.0,71.4,83.3,71.4
2018,81.6,84.4,71.7,81.6,69.6,83.8,92.5,83.5,88.2,87.8,80.0,76.1,85.3,82.6,69.4,85.5,68.6
2019,80.6,77.2,76.9,78.6,72.0,89.7,86.4,77.6,87.5,87.8,78.3,76.2,83.3,90.5,68.8,85.0,78.4
2020,81.0,83.0,72.7,79.1,78.3,80.0,92.6,82.7,84.2,88.4,73.9,79.1,77.2,87.0,81.8,79.4,80.6
2021,78.8,75.0,85.0,80.0,66.7,77.6,84.5,76.5,81.3,83.0,81.8,87.8,75.0,85.7,81.8,80.0,61.8
2022,82.2,74.5,86.1,80.6,85.0,78.6,92.0,81.9,81.3,94.7,84.2,76.5,79.2,88.0,83.3,83.3,72.2
2023,84.5,85.3,94.3,84.8,80.0,74.4,95.6,85.4,85.7,92.6,77.8,75.7,86.7,89.5,83.3,84.0,75.0
2024,82.6,73.5,87.1,90.3,70.0,75.7,89.4,82.7,83.3,95.7,85.7,83.8,84.3,88.9,70.8,80.0,75.9
