year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,2.13,1.44,2.72,1.70,2.54,1.85,2.16,2.07,2.65,1.74,2.91,2.77,2.24,2.65,2.27,1.92,1.74
2011,2.25,1.89,2.53,2.25,2.54,1.62,1.59,1.93,3.05,3.20,2.41,2.76,2.53,2.73,2.55,2.12,1.97
2012,1.96,1.51,1.86,1.48,2.25,1.86,1.79,1.68,1.88,2.30,2.50,2.27,2.75,1.96,3.17,1.19,1.80
2013,2.24,2.13,1.96,1.81,1.66,2.11,2.23,2.03,1.69,2.02,3.18,3.53,2.28,2.20,3.31,1.96,2.33
2014,1.88,1.65,1.77,1.53,2.45,2.31,1.40,1.58,2.29,1.50,1.76,2.83,1.98,2.45,2.08,1.79,2.04
2015,1.89,1.96,2.68,1.49,1.86,1.84,1.90,1.27,2.30,1.46,1.68,2.17,2.10,1.75,2.57,1.61,2.80
2016,1.77,1.58,2.93,1.12,2.26,1.33,1.66,1.33,1.71,1.55,1.18,2.81,1.58,1.67,2.36,2.01,2.28
2017,1.73,1.76,1.73,1.36,1.48,1.73,1.51,1.54,1.72,1.93,1.43,2.20,1.52,1.20,1.67,2.32,2.52
2018,1.71,1.76,1.54,1.51,2.07,1.70,1.15,1.52,2.13,2.11,0.76,1.93,1.81,2.17,1.40,1.89,2.47
2019,1.52,1.14,1.69,1.04,1.97,1.67,1.23,1.13,1.52,1.74,1.10,2.01,1.75,2.10,1.33,1.89,1.71
2020,0.66,0.48,1.08,0.73,0.70,0.58,0.61,0.34,0.94,0.81,0.43,0.55,0.59,0.66,0.79,0.91,1.20
2021,0.76,0.83,0.89,0.73,0.40,0.37,0.70,0.60,0.84,0.38,0.87,0.98,0.87,0.50,0.94,1.03,1.09
2022,1.24,0.93,1.94,0.94,1.32,1.17,1.60,1.07,1.80,1.30,0.87,1.27,1.26,0.76,1.75,1.03,1.28
2023,1.80,1.39,1.80,0.79,2.46,1.65,2.42,1.63,1.38,1.40,1.58,2.50,2.05,1.62,2.20,1.83,1.89
