REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,0.055,0.053,0.041,0.045,0.060,0.045,0.042,0.048,0.048,0.060,0.056,0.054,0.051,0.052
Dolnośląskie,0.000,0.000,0.013,0.000,0.000,0.048,0.027,0.037,0.000,0.048,0.000,0.000,0.000,0.000
Kujawsko-Pomorskie,0.000,0.000,0.016,0.019,0.011,0.008,0.011,0.012,0.018,0.025,0.024,0.037,0.036,0.058
Lubelskie,0.242,0.197,0.164,0.136,0.186,0.157,0.169,0.166,0.198,0.187,0.235,0.172,0.180,0.156
Lubuskie,0.000,0.000,0.000,0.001,0.000,0.006,0.002,0.000,0.017,0.011,0.011,0.007,0.000,0.003
Łódzkie,0.073,0.000,0.011,0.066,0.059,0.049,0.048,0.053,0.000,0.000,0.000,0.062,0.056,0.073
Małopolskie,0.071,0.072,0.082,0.058,0.053,0.063,0.051,0.065,0.063,0.000,0.051,0.053,0.052,0.058
Mazowieckie,0.060,0.000,0.054,0.052,0.098,0.055,0.049,0.062,0.042,0.076,0.048,0.045,0.043,0.042
Opolskie,0.000,0.000,0.012,0.000,0.000,0.020,0.018,0.020,0.000,0.011,0.015,0.019,0.031,0.020
Podkarpackie,0.000,0.000,0.000,0.000,0.000,0.026,0.027,0.012,0.027,0.045,0.033,0.026,0.023,0.023
Podlaskie,0.000,0.027,0.008,0.010,0.000,0.018,0.016,0.016,0.014,0.026,0.022,0.016,0.022,0.025
Pomorskie,0.000,0.000,0.011,0.011,0.011,0.007,0.016,0.010,0.012,0.016,0.016,0.033,0.030,0.020
Śląskie,0.002,0.000,0.002,0.001,0.003,0.003,0.005,0.005,0.003,0.000,0.005,0.012,0.000,0.009
Świętokrzyskie,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.005,0.000,0.000,0.007,0.000,0.015,0.023
Warmińsko-Mazurskie,0.245,0.268,0.163,0.183,0.159,0.153,0.122,0.156,0.158,0.211,0.233,0.253,0.230,0.000
Wielkopolskie,0.090,0.107,0.065,0.088,0.078,0.075,0.073,0.075,0.000,0.088,0.087,0.081,0.000,0.080
Zachodniopomorskie,0.025,0.000,0.000,0.020,0.000,0.017,0.015,0.000,0.000,0.035,0.024,0.027,0.024,0.021
