year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,2.48,2.37,2.36,2.32,1.87,2.45,2.65,2.93,2.07,2.10,2.59,2.58,2.87,1.98,1.97,2.45,2.08
2011,2.61,2.55,2.44,2.46,1.92,2.56,2.75,3.28,2.01,2.20,2.67,2.65,3.00,2.11,2.14,2.42,2.16
2012,2.80,2.66,2.71,2.69,2.37,2.69,2.94,3.57,2.11,2.33,2.91,2.77,3.08,2.32,2.30,2.52,2.54
2013,2.86,2.73,2.69,2.65,2.44,2.75,3.06,3.66,2.20,2.44,3.02,2.77,3.20,2.41,2.37,2.53,2.53
2014,2.91,2.78,2.74,2.70,2.47,2.84,3.11,3.70,2.22,2.47,3.07,2.87,3.26,2.44,2.38,2.54,2.58
2015,2.96,2.90,2.79,2.82,2.47,2.85,3.23,3.77,2.26,2.49,3.18,2.92,3.24,2.43,2.45,2.52,2.63
2016,3.02,2.92,2.81,2.80,2.53,2.94,3.33,3.91,2.29,2.53,3.26,2.98,3.35,2.39,2.49,2.57,2.64
2017,3.03,2.97,2.77,2.83,2.41,3.00,3.32,3.94,2.26,2.57,3.16,3.05,3.31,2.41,2.45,2.57,2.60
2018,3.03,3.03,2.80,2.84,2.33,3.00,3.33,3.96,2.33,2.50,2.99,3.03,3.33,2.40,2.41,2.57,2.64
2019,3.07,3.11,2.81,2.83,2.25,3.07,3.31,4.09,2.33,2.52,3.01,3.14,3.32,2.46,2.40,2.59,2.67
2020,2.64,2.63,2.42,2.35,1.93,2.62,2.90,3.58,2.02,2.09,2.51,2.78,2.83,2.07,2.12,2.21,2.23
2021,3.02,3.01,2.72,2.79,2.18,2.98,3.21,4.20,2.23,2.41,3.04,3.20,3.22,2.35,2.39,2.50,2.53
2022,3.22,3.17,2.88,2.98,2.31,3.24,3.38,4.48,2.35,2.53,3.24,3.32,3.44,2.55,2.54,2.70,2.70
2023,3.49,3.43,3.17,3.24,2.54,3.57,3.66,4.84,2.52,2.77,3.53,3.66,3.71,2.74,2.67,2.89,2.88
