year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,6.5,8.9,7.0,4.1,6.9,5.8,7.4,4.7,9.2,5.8,3.8,6.8,17.5,6.2,5.0,7.1,5.3
2011,6.5,8.9,7.0,4.1,6.9,5.8,7.4,4.8,9.2,5.7,3.8,6.8,17.4,6.2,5.1,7.0,5.3
2012,6.4,8.9,7.1,4.2,6.9,5.8,7.4,4.8,8.7,5.7,3.5,6.8,16.8,6.2,5.1,6.9,5.5
2013,6.2,8.8,6.6,4.1,6.6,5.8,7.4,4.8,8.5,5.2,3.4,6.6,16.0,5.9,4.5,6.6,5.2
2014,6.2,8.8,6.7,4.1,6.6,5.9,7.2,4.7,8.1,5.5,3.2,6.7,16.0,6.2,4.6,6.3,5.2
2015,6.2,8.7,6.7,4.1,6.5,5.9,7.2,4.8,8.0,5.5,3.2,6.7,16.0,6.2,4.7,6.3,5.2
2016,6.1,8.8,6.7,4.2,6.4,5.9,7.0,4.8,8.3,5.5,3.2,6.5,15.9,6.2,4.5,6.3,5.0
2017,6.1,8.7,6.7,4.2,6.3,5.9,7.1,4.8,8.2,5.0,3.6,7.0,15.8,6.2,4.5,6.3,5.1
2018,6.2,8.5,6.7,4.2,6.5,5.9,7.2,4.8,8.3,5.5,3.8,6.5,15.8,6.2,4.5,6.3,5.1
2019,6.2,8.6,7.4,3.9,6.6,5.9,7.1,4.8,8.4,5.5,3.7,6.5,15.6,6.2,4.7,6.3,5.2
2020,6.2,8.7,6.7,4.3,6.6,5.9,7.1,4.8,8.4,5.5,3.7,6.6,15.5,6.2,4.7,6.3,5.2
2021,6.2,8.9,6.7,4.4,6.5,5.9,7.1,4.8,8.3,5.5,3.8,6.6,15.2,6.2,4.5,6.3,5.1
2022,6.2,9.0,6.7,4.4,6.5,5.9,7.1,4.9,8.3,5.5,3.8,6.6,15.1,6.2,4.5,6.3,5.1
2023,6.3,9.1,6.7,4.3,6.6,5.9,7.1,5.1,8.8,5.5,3.8,6.8,15.3,6.1,4.5,6.4,5.1
2024,6.3,9.2,6.7,4.4,6.5,6.0,7.1,5.0,8.3,5.5,3.8,6.4,15.3,6.2,4.6,6.4,5.4
