REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,50.2,51.9,52.3,59.6,52.9,63.1,59.9,68.5,71.7,70.9,75.3,74.1,79.5,80.6
Dolnośląskie,37.8,38.3,40.4,56.7,60.0,68.8,65.3,74.6,77.4,82.2,76.7,86.6,111.9,100.8
Kujawsko-Pomorskie,61.3,59.2,58.1,57.8,42.1,49.4,53.9,64.7,74.5,73.1,81.4,84.1,79.3,79.7
Lubelskie,50.1,53.5,48.1,56.1,54.0,59.0,45.0,51.8,45.3,43.3,59.6,57.2,64.3,62.3
Lubuskie,40.4,39.3,35.2,54.1,31.1,37.6,47.6,48.3,61.9,57.3,60.4,52.3,62.0,61.7
Łódzkie,61.7,57.7,65.6,80.7,69.3,92.2,78.2,91.3,96.7,97.7,106.3,98.8,110.3,117.1
Małopolskie,34.7,37.6,38.9,42.0,37.4,42.9,41.4,61.2,61.1,66.8,63.7,59.0,55.9,55.7
Mazowieckie,66.3,69.5,77.2,84.6,78.2,87.9,80.7,85.8,92.4,84.0,92.3,85.8,87.7,93.1
Opolskie,34.4,39.6,39.2,49.1,41.9,78.3,93.4,68.9,54.3,64.6,69.7,66.9,74.4,73.3
Podkarpackie,48.7,44.3,45.6,35.8,31.9,38.1,42.2,57.2,58.3,59.6,79.2,80.9,67.7,71.0
Podlaskie,51.3,58.1,66.3,70.3,61.8,68.1,64.8,80.7,81.8,86.0,89.3,79.8,85.1,71.9
Pomorskie,49.2,55.3,58.0,70.9,66.3,76.2,73.3,77.8,81.5,76.3,74.9,71.8,82.6,85.7
Śląskie,43.0,42.8,43.1,46.2,40.7,50.6,44.0,54.6,56.0,57.3,55.7,57.0,68.0,71.6
Świętokrzyskie,46.2,51.3,48.3,49.8,31.0,41.4,47.5,51.5,42.4,44.8,67.6,75.7,64.3,62.4
Warmińsko-Mazurskie,103.7,65.7,59.1,65.2,54.2,61.4,62.6,71.7,80.5,84.4,89.1,89.1,75.6,99.3
Wielkopolskie,37.8,57.3,44.6,58.7,52.4,62.5,59.0,63.7,70.5,66.2,64.3,66.3,82.5,80.3
Zachodniopomorskie,41.2,46.3,46.3,54.1,51.1,64.2,60.4,71.0,82.6,73.0,73.5,73.4,76.0,74.2
