year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,2.07,2.77,0.57,1.7,4.41,0.38,3.0,1.29,0.43,4.08,1.79,1.61,0.88,1.8,3.41,1.17,6.76
2011,2.48,3.23,0.62,1.72,4.93,0.48,2.96,1.52,0.3,4.19,2.85,2.22,1.04,2.1,4.92,1.37,8.18
2012,3.05,3.61,0.69,2.0,6.53,0.57,3.29,1.95,0.35,4.31,3.62,2.84,1.47,2.29,6.52,1.62,10.36
2013,3.37,3.36,0.85,2.28,8.7,0.74,2.72,2.42,0.49,4.43,4.17,2.86,1.48,2.55,7.26,1.85,11.77
2014,3.82,3.59,0.96,2.35,10.11,0.91,2.67,2.68,0.51,3.6,4.76,3.44,1.89,2.37,9.03,2.09,13.91
2015,3.45,3.04,0.89,2.05,10.06,0.87,2.17,2.32,0.45,2.52,4.59,2.89,1.63,2.2,9.35,1.76,12.39
2016,2.96,2.65,0.75,1.76,8.16,0.81,1.9,2.02,0.46,2.19,4.21,2.59,1.19,1.9,8.38,1.39,9.56
2017,2.62,2.36,0.58,1.58,6.99,0.73,1.64,1.75,0.44,2.2,4.23,2.2,0.8,1.72,8.57,1.11,8.19
2018,2.48,2.46,0.53,1.6,6.87,0.7,1.35,1.49,0.51,2.08,3.9,1.95,0.62,1.62,8.02,1.06,8.0
2019,2.66,2.47,0.63,1.67,7.17,0.73,1.41,1.72,0.45,2.06,3.78,2.31,0.74,1.61,8.63,1.17,8.54
2020,2.68,2.56,0.57,1.78,6.75,0.79,1.25,1.7,0.58,1.96,3.9,2.31,0.72,1.41,7.92,1.24,8.24
2021,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,
2023,3.1,3.33,0.61,1.84,7.93,0.93,1.26,1.98,0.37,1.82,5.1,2.44,0.77,1.46,9.01,1.42,9.95
