REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,17.1,16.1,16.5,17.1,17.5,17.6,18.7,18.5,24.0,18.9,31.4,22.0,32.2,,32.8
Dolnośląskie,16.6,15.0,20.7,19.0,22.1,17.1,18.4,17.8,20.7,20.0,30.7,22.7,33.8,,31.8
Kujawsko-Pomorskie,17.9,18.8,17.5,13.6,14.9,16.1,17.4,17.4,23.2,16.3,24.3,18.6,29.2,,29.7
Lubelskie,17.1,19.3,15.9,15.9,21.2,18.4,22.5,20.1,30.7,17.3,38.2,22.9,32.4,,43.1
Lubuskie,15.9,12.3,16.4,19.2,15.5,15.4,19.1,15.3,22.8,16.0,24.6,19.1,30.1,,25.9
Łódzkie,13.4,11.1,13.7,15.6,15.2,15.4,16.1,16.0,20.6,19.2,29.6,19.3,31.7,,36.6
Małopolskie,16.3,19.5,17.4,18.1,15.6,20.4,21.2,20.7,24.9,21.4,36.4,24.6,30.9,,30.4
Mazowieckie,17.3,13.9,15.3,18.5,19.1,17.2,20.8,19.5,27.0,20.4,32.3,23.9,33.9,,34.4
Opolskie,19.3,20.1,22.3,19.9,19.5,21.5,20.1,22.6,23.7,19.2,27.6,22.8,29.8,,38.0
Podkarpackie,20.7,21.0,17.9,19.9,18.4,17.3,20.9,19.4,29.0,23.8,35.4,26.3,37.4,,34.1
Podlaskie,17.0,17.1,21.9,23.4,18.7,20.6,17.5,18.2,20.6,22.1,34.9,25.0,35.5,,32.6
Pomorskie,15.3,16.2,11.0,15.3,16.5,15.6,16.5,17.9,26.7,16.2,28.2,23.0,33.4,,33.3
Śląskie,20.3,15.2,19.1,15.4,19.9,19.6,20.7,19.3,25.5,18.6,32.2,22.7,35.5,,31.8
Świętokrzyskie,16.5,15.6,18.2,17.6,14.2,13.7,15.0,19.2,19.3,17.2,24.1,19.0,26.8,,30.7
Warmińsko-Mazurskie,18.6,15.5,18.6,20.1,17.4,16.3,13.5,14.3,20.5,19.7,28.9,21.3,29.6,,29.8
Wielkopolskie,16.2,18.5,12.0,15.7,14.9,17.3,16.7,18.6,21.3,17.9,34.0,20.5,28.1,,31.4
Zachodniopomorskie,15.5,13.2,18.1,16.7,17.4,18.5,17.0,18.1,23.8,14.5,30.3,17.2,31.5,,32.0
