year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,6652,7861,2228,902,2741,2951,4980,23887,2221,1481,583,4700,4869,3067,1639,6629,3623
2012,7290,8538,2245,918,2775,3057,5757,26588,2366,1670,717,4887,5196,3200,1658,6998,4288
2013,7708,8642,2243,969,2888,3119,5882,28017,3219,4000,838,4629,5328,3512,1581,7092,4585
2014,8081,8499,2167,1099,2301,3220,6127,29387,3180,4052,523,4968,5577,3671,1635,7226,7006
2015,8495,9254,2119,1189,2247,3363,5972,29425,3295,4044,584,5554,5980,3439,1590,10080,7216
2016,8744,9607,2167,1408,2647,3549,7827,30603,3286,1838,723,3907,6183,3241,1639,11117,6256
2017,8680,9907,2456,1430,2663,3577,7894,29330,3400,2033,705,4070,6307,2724,1601,11459,6246
2018,8751,9857,2502,1612,2944,4035,7485,28794,3537,2268,976,4326,6578,3485,1632,11595,6419
2019,9591,12944,2615,1594,2796,4132,5984,30792,3816,2237,1305,4747,9327,4532,1694,12012,6430
2020,9931,13439,2735,1653,2865,4266,6107,32096,4190,2308,1221,4739,8253,5000,1845,12044,6457
2021,10794,14369,2935,1653,3196,4672,5460,36668,6865,2328,1393,5212,7590,5187,2141,12646,6861
2022,10948,14751,3148,1638,3381,4627,3412,35398,6944,2996,1040,6126,9087,5553,2222,12160,12330
2023,12434,14860,3263,1974,3724,5485,3657,39890,7439,4305,1645,6292,9775,5169,2425,17340,12629
2024,12860,15071,3183,2194,4140,5017,3603,40293,7881,5300,1501,6060,10647,3566,2243,19912,12637
