REGION,PARAM,2020,2021,2022,2023,2024,2025
Polska,BZT5,101.2,136.5,114.9,128.4,x,x
Dolnośląskie,BZT5,x,x,x,x,,
Kujawsko-Pomorskie,BZT5,x,x,x,x,,
Lubelskie,BZT5,x,x,x,x,,
Lubuskie,BZT5,x,x,x,x,,
Łódzkie,BZT5,x,x,x,x,,
Małopolskie,BZT5,x,x,x,x,,
Mazowieckie,BZT5,x,x,x,x,,
Opolskie,BZT5,x,x,x,x,,
Podkarpackie,BZT5,x,x,x,x,,
Podlaskie,BZT5,x,x,x,x,,
Pomorskie,BZT5,60.8,90.9,79.2,80.8,,
Śląskie,BZT5,x,x,x,x,,
Świętokrzyskie,BZT5,x,x,x,x,,
Warmińsko-Mazurskie,BZT5,1.0,0.4,0.8,0.7,,
Wielkopolskie,BZT5,x,x,x,x,,
Zachodniopomorskie,BZT5,39.4,45.2,35.0,46.9,,
Polska,ChZT-CR,854.6,x,980.6,1116.2,,
Dolnośląskie,ChZT-CR,x,x,x,x,x,x
Kujawsko-Pomorskie,ChZT-CR,x,x,x,x,x,x
Lubelskie,ChZT-CR,x,x,x,x,x,x
Lubuskie,ChZT-CR,x,x,x,x,x,x
Łódzkie,ChZT-CR,x,x,x,x,x,x
Małopolskie,ChZT-CR,x,x,x,x,x,x
Mazowieckie,ChZT-CR,x,x,x,x,x,x
Opolskie,ChZT-CR,x,x,x,x,x,x
Podkarpackie,ChZT-CR,x,x,x,x,x,x
Podlaskie,ChZT-CR,x,x,x,x,x,x
Pomorskie,ChZT-CR,x,x,x,x,x,x
Śląskie,ChZT-CR,x,x,x,x,x,x
Świętokrzyskie,ChZT-CR,x,x,x,x,x,x
Warmińsko-Mazurskie,ChZT-CR,x,x,x,x,x,x
Wielkopolskie,ChZT-CR,x,x,x,x,x,x
Zachodniopomorskie,ChZT-CR,x,x,x,x,x,x
Polska,Azot ogólny,98.5,136.0,108.3,138.6,,
Dolnośląskie,Azot ogólny,x,x,x,x,,
Kujawsko-Pomorskie,Azot ogólny,x,x,x,x,,
Lubelskie,Azot ogólny,x,x,x,x,,
Lubuskie,Azot ogólny,x,x,x,x,,
Łódzkie,Azot ogólny,x,x,x,x,,
Małopolskie,Azot ogólny,x,x,x,x,,
Mazowieckie,Azot ogólny,x,x,x,x,,
Opolskie,Azot ogólny,x,x,x,x,,
Podkarpackie,Azot ogólny,x,x,x,x,,
Podlaskie,Azot ogólny,x,x,x,x,,
Pomorskie,Azot ogólny,55.3,85.4,67.0,89.1,,
Śląskie,Azot ogólny,x,x,x,x,,
Świętokrzyskie,Azot ogólny,x,x,x,x,,
Warmińsko-Mazurskie,Azot ogólny,0.7,1.1,1.3,1.0,,
Wielkopolskie,Azot ogólny,x,x,x,x,,
Zachodniopomorskie,Azot ogólny,42.5,49.6,40.1,48.4,,
Polska,Azot azotanowy,57.7,82.3,68.4,87.1,,
Dolnośląskie,Azot azotanowy,x,x,x,x,,
Kujawsko-Pomorskie,Azot azotanowy,x,x,x,x,,
Lubelskie,Azot azotanowy,x,x,x,x,,
Lubuskie,Azot azotanowy,x,x,x,x,,
Łódzkie,Azot azotanowy,x,x,x,x,,
Małopolskie,Azot azotanowy,x,x,x,x,,
Mazowieckie,Azot azotanowy,x,x,x,x,,
Opolskie,Azot azotanowy,x,x,x,x,,
Podkarpackie,Azot azotanowy,x,x,x,x,,
Podlaskie,Azot azotanowy,x,x,x,x,,
Pomorskie,Azot azotanowy,31.9,49.4,42.0,55.3,,
Śląskie,Azot azotanowy,x,x,x,x,,
Świętokrzyskie,Azot azotanowy,x,x,x,x,,
Warmińsko-Mazurskie,Azot azotanowy,0.4,0.6,0.8,0.7,,
Wielkopolskie,Azot azotanowy,x,x,x,x,,
Zachodniopomorskie,Azot azotanowy,25.4,32.3,25.6,31.1,,
Polska,Azot organiczny,37.8,x,36.6,2.9,,
Dolnośląskie,Azot organiczny,x,x,x,x,,
Kujawsko-Pomorskie,Azot organiczny,x,x,x,x,,
Lubelskie,Azot organiczny,x,x,x,x,,
Lubuskie,Azot organiczny,x,x,x,x,,
Łódzkie,Azot organiczny,x,x,x,x,,
Małopolskie,Azot organiczny,x,x,x,x,,
Mazowieckie,Azot organiczny,x,x,x,x,,
Opolskie,Azot organiczny,x,x,x,x,,
Podkarpackie,Azot organiczny,x,x,x,x,,
Podlaskie,Azot organiczny,x,x,x,x,,
Pomorskie,Azot organiczny,21.7,x,22.7,31.4,,
Śląskie,Azot organiczny,x,x,x,x,,
Świętokrzyskie,Azot organiczny,x,x,x,x,,
Warmińsko-Mazurskie,Azot organiczny,0.3,x,0.4,0.3,,
Wielkopolskie,Azot organiczny,x,x,x,x,,
Zachodniopomorskie,Azot organiczny,15.8,x,13.5,16.4,,
Polska,Fosfor ogólny,5.3,6.4,3.9,4.3,,
Dolnośląskie,Fosfor ogólny,x,x,x,x,,
Kujawsko-Pomorskie,Fosfor ogólny,x,x,x,x,,
Lubelskie,Fosfor ogólny,x,x,x,x,,
Lubuskie,Fosfor ogólny,x,x,x,x,,
Łódzkie,Fosfor ogólny,x,x,x,x,,
Małopolskie,Fosfor ogólny,x,x,x,x,,
Mazowieckie,Fosfor ogólny,x,x,x,x,,
Opolskie,Fosfor ogólny,x,x,x,x,,
Podkarpackie,Fosfor ogólny,x,x,x,x,,
Podlaskie,Fosfor ogólny,x,x,x,x,,
Pomorskie,Fosfor ogólny,3.5,4.5,2.5,2.4,,
Śląskie,Fosfor ogólny,x,x,x,x,,
Świętokrzyskie,Fosfor ogólny,x,x,x,x,,
Warmińsko-Mazurskie,Fosfor ogólny,0.0,0.1,0.1,0.1,,
Wielkopolskie,Fosfor ogólny,x,x,x,x,,
Zachodniopomorskie,Fosfor ogólny,1.8,1.8,1.4,1.8,,
Polska,Fosfor fosforanowy,1.5,1.8,1.4,1.6,,
Dolnośląskie,Fosfor fosforanowy,x,x,x,x,,
Kujawsko-Pomorskie,Fosfor fosforanowy,x,x,x,x,,
Lubelskie,Fosfor fosforanowy,x,x,x,x,,
Lubuskie,Fosfor fosforanowy,x,x,x,x,,
Łódzkie,Fosfor fosforanowy,x,x,x,x,,
Małopolskie,Fosfor fosforanowy,x,x,x,x,,
Mazowieckie,Fosfor fosforanowy,x,x,x,x,,
Opolskie,Fosfor fosforanowy,x,x,x,x,,
Podkarpackie,Fosfor fosforanowy,x,x,x,x,,
Podlaskie,Fosfor fosforanowy,x,x,x,x,,
Pomorskie,Fosfor fosforanowy,0.8,1.3,1.0,1.1,,
Śląskie,Fosfor fosforanowy,x,x,x,x,,
Świętokrzyskie,Fosfor fosforanowy,x,x,x,x,,
Warmińsko-Mazurskie,Fosfor fosforanowy,0.0,0.0,0.0,0.0,,
Wielkopolskie,Fosfor fosforanowy,x,x,x,x,,
Zachodniopomorskie,Fosfor fosforanowy,0.6,87.6,0.4,0.5,,
