year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,572882,79564,93332,18275,x,0,67227,3754,x,57558,4060,16171,28722,36278,4846,x,163095
2011,575619,81496,86987,16794,x,225,66015,3315,x,58285,2680,15870,30352,39368,5004,x,169228
2012,671293,103187,110617,25787,x,729,81347,2318,x,60418,2747,23328,32204,52313,5783,x,170515
2013,682442,98193,122058,20287,x,1618,82203,1496,x,57917,1906,22815,33856,53473,5855,x,180765
2014,704789,98314,130966,25614,x,1917,86050,1021,x,55134,2279,24886,35318,54830,5559,x,182901
2015,731453,100735,129784,27830,x,2185,86376,1116,x,58418,3221,25978,36723,59270,6315,x,193502
2016,737093,103283,139147,27887,x,2102,82590,1163,x,57265,2736,26049,39843,61072,6579,x,187377
2017,734447,98519,144974,23757,x,2379,82136,944,x,56144,3128,26197,41343,63190,6944,x,184792
2018,759843,97169,148501,28179,x,1930,87302,3669,x,61144,7083,20181,38183,64386,7487,x,194629
2019,782117,104224,152661,30916,x,2336,89800,4384,x,61394,9035,22827,41536,63235,6956,x,192813
2020,391367,49236,77773,10889,x,1169,43997,1502,x,30514,5265,13561,16783,29312,3487,x,107879
2021,529910,66448,104448,15464,x,1511,63798,1861,x,41003,6163,15970,24418,47049,4316,x,137461
2022,741988,94588,153170,21664,x,1864,91536,2234,x,58446,8796,25898,35800,62582,5387,x,180023
2023,819238,99824,169085,23240,x,1667,93548,2589,x,63589,10019,23531,39052,64410,5815,x,222869
