REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,0.9,1.1,0.8,0.6,0.9,0.6
Dolnośląskie,,,,,,,,,,2.1,1.8,1.4,1.2,1.6,1.9
Kujawsko-Pomorskie,,,,,,,,,,1.2,0.8,0.3,0.3,0.7,0.6
Lubelskie,,,,,,,,,,0.3,0.4,0.9,0.0,0.1,0.2
Lubuskie,,,,,,,,,,9.5,12.9,15.6,13.9,16.1,14.3
Łódzkie,,,,,,,,,,0.1,1.6,0.0,0.0,0.0,0.0
Małopolskie,,,,,,,,,,0.5,1.1,0.3,0.6,0.5,0.5
Mazowieckie,,,,,,,,,,1.5,1.2,1.1,1.2,1.0,0.8
Opolskie,,,,,,,,,,0.2,0.7,0.7,0.0,0.0,0.0
Podkarpackie,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Podlaskie,,,,,,,,,,2.0,1.7,2.4,3.1,16.3,3.2
Pomorskie,,,,,,,,,,0.9,0.8,0.7,0.8,1.5,1.9
Śląskie,,,,,,,,,,0.8,0.8,0.8,0.2,0.1,0.2
Świętokrzyskie,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Warmińsko-Mazurskie,,,,,,,,,,1.9,1.0,0.5,0.6,1.2,0.7
Wielkopolskie,,,,,,,,,,1.8,0.7,0.2,0.3,0.0,0.4
Zachodniopomorskie,,,,,,,,,,0.2,0.2,0.4,0.4,0.4,0.3
