year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,6.9,4.9,59.0,0.8,8.6,1.5,11.4,4.5,3.0,11.9,37.5,25.0,4.7,9.3,38.8,7.3,8.8
2011,8.0,5.3,60.5,0.9,8.0,1.8,12.4,5.3,3.4,11.1,48.8,30.8,5.1,10.4,70.6,7.8,16.4
2012,10.4,6.6,58.7,1.5,11.4,3.3,13.9,7.7,4.0,12.9,60.2,35.5,7.1,15.3,74.4,10.1,27.0
2013,10.4,6.0,63.1,3.8,12.3,2.6,7.2,7.8,5.1,16.1,72.3,36.6,5.0,22.2,72.3,9.4,30.4
2014,12.5,9.6,65.8,4.4,11.6,2.5,9.5,8.3,6.4,23.4,69.8,41.3,6.6,26.2,78.7,11.3,35.1
2015,13.8,9.4,68.6,5.8,14.4,3.3,7.0,7.9,7.6,19.8,70.1,45.9,5.8,27.5,83.4,14.6,38.6
2016,13.7,6.5,58.7,18.0,21.3,3.9,7.7,5.9,7.1,24.3,66.5,49.8,4.1,20.7,83.7,15.4,41.8
2017,14.2,7.9,51.4,23.5,21.0,4.3,8.4,6.6,5.5,25.7,54.7,53.1,3.2,20.4,87.2,14.7,47.8
2018,12.7,6.5,48.7,22.9,19.9,3.8,7.0,4.8,5.2,23.1,68.3,51.3,3.2,16.2,82.8,21.3,44.2
2019,15.5,9.0,45.5,23.2,21.6,5.4,10.6,5.4,4.0,24.0,75.2,51.9,4.4,21.1,85.7,25.3,55.6
2020,17.9,10.2,45.4,21.9,22.5,6.0,14.6,6.5,4.1,23.0,79.8,56.6,7.4,29.6,87.1,29.2,58.5
2021,17.0,8.7,46.6,30.4,25.6,5.5,14.7,6.1,3.9,18.2,73.9,60.0,6.7,25.8,90.7,34.2,58.0
2022,21.0,10.3,54.6,51.6,35.7,6.3,20.6,7.3,5.6,49.5,80.3,63.9,9.5,20.8,95.6,52.2,62.6
2023,27.4,13.6,53.0,52.9,35.9,10.2,25.9,9.8,6.2,25.5,85.4,64.5,11.8,28.6,97.6,74.6,70.0
2024,29.0,16.0,56.6,53.8,40.2,10.4,27.6,10.6,9.2,26.7,78.6,66.5,12.3,30.2,93.7,72.2,59.6
