REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dolnośląskie,6.0,5.6,5.1,4.5,4.2,3.8,3.6,3.7,3.7,3.7,3.7,3.6,3.6,3.4
Kujawsko-Pomorskie,1.6,1.6,1.5,1.6,1.6,1.6,2.1,2.1,2.1,2.1,2.1,2.0,2.0,1.7
Lubelskie,9.5,8.8,8.4,8.0,8.0,8.2,8.8,9.4,10.1,10.5,10.3,9.7,9.1,8.6
Lubuskie,4.0,4.6,5.2,5.3,5.5,5.4,5.1,4.7,4.6,4.6,5.0,5.4,5.4,5.3
Łódzkie,2.0,2.0,2.0,2.0,2.0,2.1,2.2,2.4,2.6,2.7,2.8,2.6,2.5,2.5
Małopolskie,10.5,9.1,8.1,6.9,5.5,5.1,4.9,4.6,4.0,3.9,3.6,3.3,3.0,2.7
Mazowieckie,9.4,9.1,9.1,9.8,9.6,9.6,10.8,10.9,11.9,12.0,11.7,11.6,11.3,11.4
Opolskie,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3
Podkarpackie,10.2,8.7,7.5,6.6,5.9,5.7,5.6,5.9,5.9,5.6,5.2,4.7,4.2,3.7
Podlaskie,9.9,10.4,11.3,12.8,13.8,14.7,15.3,15.9,15.6,15.4,15.6,16.9,19.1,20.5
Pomorskie,3.1,3.3,3.4,3.4,3.4,3.3,3.0,3.0,2.8,2.8,2.8,2.8,2.8,2.7
Śląskie,1.1,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6
Świętokrzyskie,6.0,5.5,5.0,4.5,4.0,3.8,3.7,3.7,3.5,3.4,3.2,3.0,2.7,2.4
Warmińsko-Mazurskie,11.1,12.9,14.6,15.9,17.1,18.1,18.5,18.5,17.7,17.4,17.4,17.3,17.2,17.0
Wielkopolskie,3.6,3.8,3.8,3.8,3.9,3.6,3.8,3.6,3.8,3.9,4.0,3.9,4.0,4.0
Zachodniopomorskie,11.5,13.1,13.8,13.7,14.2,13.7,11.5,10.7,10.7,11.0,11.6,12.1,12.2,13.0
