REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,64,73,82,93,118,138,156,182,209,236,272
Dolnośląskie,,,,,107,121,130,144,179,208,242,269,298,335,374
Kujawsko-Pomorskie,,,,,46,54,61,70,94,115,138,167,202,237,272
Lubelskie,,,,,44,48,57,65,84,100,121,155,174,195,224
Lubuskie,,,,,86,88,99,111,142,153,176,213,247,283,331
Łódzkie,,,,,56,63,74,83,111,124,138,158,186,216,236
Małopolskie,,,,,59,68,83,99,125,143,162,183,204,234,268
Mazowieckie,,,,,74,84,92,103,127,152,165,189,222,241,275
Opolskie,,,,,102,119,128,136,165,193,211,237,280,307,346
Podkarpackie,,,,,52,60,71,83,105,123,135,157,181,203,249
Podlaskie,,,,,64,75,86,86,114,132,148,177,197,234,269
Pomorskie,,,,,64,68,69,76,97,118,141,170,202,218,245
Śląskie,,,,,55,66,76,87,111,130,154,184,205,236,285
Świętokrzyskie,,,,,40,44,54,59,77,92,101,130,151,173,218
Warmińsko-Mazurskie,,,,,40,46,55,58,76,93,101,122,144,168,208
Wielkopolskie,,,,,63,70,81,92,118,136,149,169,195,215,251
Zachodniopomorskie,,,,,79,91,99,105,138,162,182,208,244,266,306
