REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,40.0,44.0,46.0,45.9,44.0,50.3,42.9,,44.3,48.8
Dolnośląskie,,,,,,40.6,40.4,45.2,44.2,48.6,52.9,46.0,,51.9,55.3
Kujawsko-Pomorskie,,,,,,35.4,43.3,44.1,46.4,44.7,52.0,46.6,,43.1,48.8
Lubelskie,,,,,,41.7,41.7,43.9,40.4,34.9,42.7,36.8,,37.6,46.3
Lubuskie,,,,,,38.1,41.6,36.7,42.6,39.5,47.5,41.6,,49.3,45.5
Łódzkie,,,,,,39.0,38.3,47.8,44.9,40.2,48.1,45.0,,40.9,51.0
Małopolskie,,,,,,40.2,49.9,44.1,45.7,39.4,51.2,37.1,,47.5,47.2
Mazowieckie,,,,,,48.8,51.1,54.6,54.0,52.7,62.6,53.2,,55.6,55.6
Opolskie,,,,,,38.8,45.7,50.6,41.4,49.0,42.6,22.9,,34.2,37.7
Podkarpackie,,,,,,38.2,45.8,43.5,39.6,37.4,47.6,43.7,,32.8,38.3
Podlaskie,,,,,,37.1,37.2,42.4,46.4,42.2,48.9,35.5,,34.7,42.6
Pomorskie,,,,,,40.1,49.3,47.8,53.2,47.1,46.5,38.6,,39.5,39.3
Śląskie,,,,,,38.2,45.8,45.4,46.8,47.5,50.1,41.1,,53.6,55.6
Świętokrzyskie,,,,,,26.4,29.5,38.5,37.6,46.3,39.0,35.6,,32.6,40.7
Warmińsko-Mazurskie,,,,,,36.4,39.1,42.9,44.3,32.6,40.8,41.3,,34.1,44.2
Wielkopolskie,,,,,,36.9,40.6,43.8,41.9,42.5,47.4,44.0,,39.4,48.0
Zachodniopomorskie,,,,,,42.8,50.1,57.1,47.3,45.0,48.4,47.7,,39.9,51.9
