REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,30,17,13,19,44,18,15,44,284,37,12,18,43,50
Dolnośląskie,0,2,0,1,0,0,0,0,2,0,2,3,5,3
Kujawsko-Pomorskie,11,0,0,0,5,2,0,1,1,2,0,0,1,2
Lubelskie,3,0,0,0,0,0,0,0,0,1,0,0,0,0
Lubuskie,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Łódzkie,0,2,4,3,13,1,1,2,24,2,1,0,12,3
Małopolskie,5,2,2,4,7,9,9,5,24,9,2,0,4,4
Mazowieckie,3,2,3,2,7,1,1,4,25,12,4,6,14,25
Opolskie,0,0,0,3,0,0,0,0,1,0,0,0,1,3
Podkarpackie,2,0,0,1,1,0,0,0,89,0,0,0,0,0
Podlaskie,1,0,0,0,3,0,0,0,2,0,0,0,2,2
Pomorskie,1,0,0,1,0,1,0,6,53,3,0,4,3,1
Śląskie,1,7,2,1,4,3,3,21,5,2,0,0,0,0
Świętokrzyskie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warmińsko-Mazurskie,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Wielkopolskie,2,1,1,0,4,0,1,5,23,6,3,5,1,6
Zachodniopomorskie,0,1,1,0,0,0,0,0,34,0,0,0,0,0
