year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,1427063,83329,92177,103558,39657,97595,134597,160857,26481,106476,50931,83786,105872,62541,70353,145081,63772
2011,1416015,82016,90211,103622,40105,96359,132299,159033,26745,104664,51094,84921,108784,61323,69987,140696,64156
2012,1285312,72350,81975,95406,35354,87827,121003,146261,23430,94802,46548,78284,98089,55980,63346,127109,57548
2013,1196479,66466,75960,89051,31996,81626,113560,138942,21738,88028,43469,73519,92263,51779,58382,117015,52685
2014,1105853,59882,69815,82853,28775,75474,105999,131100,19862,81426,40771,67862,85989,47982,53376,107384,47303
2015,1034175,54159,64931,77895,26048,70388,99946,124829,18160,76725,38367,63258,80816,44960,49576,101156,42961
2016,1118069,59260,69133,82921,27465,75713,107272,137021,20599,81991,41311,67541,90082,48618,52723,111313,45106
2017,1119246,60070,68749,81724,27190,75651,107295,138493,20826,79906,41515,68246,93311,47789,52123,111857,44501
2018,1115800,62395,67946,78372,27063,73964,106874,139479,20868,76956,40930,69832,96611,45811,51041,113514,44144
2019,1008127,56964,61930,69706,24105,65798,97908,126847,18513,69130,36364,64677,87229,40496,46087,102769,39604
2020,821901,43232,51521,58919,18940,53202,81425,103178,14409,58029,30573,53118,66414,33343,37811,86521,31266
2021,678957,34746,42766,48586,15247,43226,69237,85136,11542,48668,25343,44559,53390,27461,31292,72316,25442
2022,552745,28615,35189,39415,12396,35025,57441,69663,9643,40102,20935,37568,43661,22270,25893,53962,20967
2023,452903,23220,29219,32428,9976,28974,47049,57150,7673,32293,17705,31396,34808,18137,21481,44306,17088
