year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,62.6,63.0,52.7,56.9,63.4,64.3,61.4,68.3,76.6,54.3,56.8,56.8,70.5,57.5,52.0,68.0,59.5
2011,69.2,70.0,60.4,64.5,68.9,70.5,68.8,76.1,78.9,61.7,65.8,64.7,74.4,63.7,60.1,73.0,65.7
2012,69.7,70.2,61.7,65.7,68.1,70.9,69.8,75.6,77.9,63.8,67.2,66.1,74.4,64.3,60.4,73.7,65.9
2013,74.1,75.0,67.4,71.9,72.7,75.4,73.4,80.2,81.0,68.2,70.3,70.4,77.5,71.0,64.7,77.6,70.2
2014,79.4,80.0,72.4,77.3,77.9,80.8,78.9,84.5,86.5,73.6,75.3,75.1,83.6,76.4,69.7,83.5,75.8
2015,84.2,84.8,77.6,81.8,83.2,84.7,84.1,89.6,89.7,79.3,81.3,80.3,87.9,80.6,74.8,87.6,79.9
2016,81.1,81.9,72.8,79.2,78.7,81.8,82.0,88.0,87.5,77.3,78.9,76.3,82.8,76.8,70.7,84.2,76.7
2017,84.7,84.8,76.0,82.2,82.1,85.1,85.9,91.6,89.7,81.5,83.1,80.5,86.4,80.3,74.6,87.5,81.0
2018,87.3,88.7,79.2,84.4,85.1,86.8,88.3,93.5,90.6,84.9,85.5,83.5,89.0,83.5,78.6,89.7,84.2
2019,88.5,89.2,82.0,85.4,87.4,88.4,89.7,93.5,91.6,86.2,87.9,84.9,90.1,85.2,81.1,90.3,85.9
2020,85.2,86.2,77.9,82.6,83.6,85.9,85.6,90.0,88.2,81.8,83.4,81.7,88.4,81.7,78.5,87.3,82.4
2021,88.3,89.2,81.7,85.9,87.1,89.5,88.6,92.5,90.7,85.7,86.7,84.9,90.6,86.0,82.0,90.2,85.6
2022,92.7,94.6,86.0,90.0,92.9,93.4,92.9,97.0,95.3,89.6,91.5,89.2,95.1,89.3,85.7,94.9,90.0
2023,94.2,95.8,88.5,91.3,94.0,94.9,94.3,98.2,96.4,91.5,93.9,91.2,96.3,91.5,87.6,95.9,91.7
