REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,46.2,46.4,43.9,39.0,36.8,46.3,28.1,31.5,45.2,47.5,43.0,37.7,49.2,55.3,64.4
Dolnośląskie,48.5,32.4,58.1,66.0,38.9,76.7,57.7,44.9,61.5,62.2,57.2,37.8,49.0,50.5,81.1
Kujawsko-Pomorskie,90.0,62.0,78.9,89.9,92.9,103.7,41.0,31.5,53.4,73.3,52.9,48.8,67.6,64.5,64.7
Lubelskie,49.2,31.6,27.7,26.8,29.1,30.9,28.5,40.6,59.4,60.3,67.0,53.3,72.1,64.0,95.0
Lubuskie,62.0,97.1,77.9,69.4,68.5,82.9,33.7,51.2,78.0,75.3,60.5,60.4,61.1,86.9,82.1
Łódzkie,27.6,21.1,20.8,16.7,18.6,27.8,22.3,25.3,30.2,32.1,28.0,30.7,35.8,46.9,53.5
Małopolskie,31.4,108.9,64.7,51.1,63.1,73.1,30.5,32.1,49.7,57.1,59.9,44.2,55.1,69.0,69.6
Mazowieckie,38.1,25.9,22.3,20.6,20.0,24.5,15.0,24.9,39.4,38.2,28.2,22.1,29.2,34.9,41.1
Opolskie,54.1,48.0,39.3,35.7,47.1,56.0,29.2,35.2,52.8,47.7,40.8,48.9,66.8,76.1,76.5
Podkarpackie,74.6,94.0,58.9,56.5,60.5,51.3,40.8,44.8,58.0,57.1,54.4,64.2,93.1,96.9,130.6
Podlaskie,48.3,28.9,26.6,28.8,23.7,40.2,25.7,33.5,39.3,41.9,41.4,43.2,71.5,67.6,80.9
Pomorskie,25.4,24.8,25.4,31.4,25.6,40.9,22.8,24.8,31.9,41.9,30.3,25.2,33.6,44.6,54.2
Śląskie,40.1,36.0,45.8,22.3,23.5,33.9,24.0,24.7,31.7,34.1,36.4,30.9,39.7,47.6,58.4
Świętokrzyskie,76.2,44.9,40.3,32.2,30.5,36.6,31.4,37.8,48.7,43.3,37.1,38.5,50.6,58.1,64.3
Warmińsko-Mazurskie,67.5,50.3,46.3,37.4,37.4,38.9,27.6,34.7,48.0,45.4,43.1,42.5,59.5,79.5,66.3
Wielkopolskie,40.7,41.2,49.9,34.1,26.4,30.3,16.4,22.5,35.6,37.9,25.9,21.9,34.1,35.2,40.8
Zachodniopomorskie,29.7,36.1,41.6,52.0,32.1,43.8,28.6,31.5,53.4,50.9,66.3,61.1,54.1,57.4,47.0
