REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,349,400,442,458,451,399,368,338,330,345,340,,,431
Dolnośląskie,431,490,464,405,395,343,324,300,319,316,333,,,397
Kujawsko-Pomorskie,71,79,87,105,108,100,89,78,69,74,67,,,88
Lubelskie,251,242,266,296,277,235,219,199,201,198,204,,,219
Lubuskie,817,914,1085,1340,1213,1184,1081,970,957,1017,971,,,1312
Łódzkie,78,89,100,105,117,104,103,90,89,94,101,,,115
Małopolskie,369,339,366,304,287,241,221,189,158,170,150,,,152
Mazowieckie,237,244,277,333,320,278,257,228,195,218,207,,,266
Opolskie,61,50,56,67,67,61,63,55,72,63,64,,,52
Podkarpackie,522,515,497,505,409,290,263,270,248,237,222,,,200
Podlaskie,406,491,520,591,602,534,504,503,481,471,476,,,805
Pomorskie,300,369,409,389,399,327,321,299,266,274,268,,,329
Śląskie,146,166,188,188,212,186,144,100,79,98,88,,,105
Świętokrzyskie,254,278,291,302,268,240,218,205,193,190,167,,,176
Warmińsko-Mazurskie,751,939,1088,1138,1173,1133,1062,1135,1102,1137,1013,,,1246
Wielkopolskie,183,215,230,238,234,198,172,143,149,157,165,,,206
Zachodniopomorskie,1077,1381,1558,1548,1556,1372,1182,1077,1126,1187,1093,,,1391
