REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,,,,,,,93.0,85.4,84.1,76.2
Dolnośląskie,,,,,,,,,,,91.4,62.9,62.9,62.9
Kujawsko-Pomorskie,,,,,,,,,,,88.2,100.0,100.0,88.2
Lubelskie,,,,,,,,,,,100.0,100.0,95.0,85.0
Lubuskie,,,,,,,,,,,77.8,55.6,55.6,33.3
Łódzkie,,,,,,,,,,,94.4,83.3,83.3,66.7
Małopolskie,,,,,,,,,,,100.0,100.0,100.0,85.7
Mazowieckie,,,,,,,,,,,91.4,82.9,80.0,77.1
Opolskie,,,,,,,,,,,66.7,66.7,66.7,100.0
Podkarpackie,,,,,,,,,,,93.8,93.8,93.8,81.2
Podlaskie,,,,,,,,,,,100.0,100.0,100.0,92.3
Pomorskie,,,,,,,,,,,81.8,81.8,81.8,63.6
Śląskie,,,,,,,,,,,98.0,85.7,81.6,71.4
Świętokrzyskie,,,,,,,,,,,100.0,80.0,80.0,80.0
Warmińsko-Mazurskie,,,,,,,,,,,93.8,93.8,100.0,93.8
Wielkopolskie,,,,,,,,,,,89.5,89.5,84.2,84.2
Zachodniopomorskie,,,,,,,,,,,100.0,90.9,90.9,90.9
