REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,62.6,69.2,69.7,74.1,79.4,84.2,81.1,84.7,87.3,88.5,85.2,88.3,92.7,94.2
Dolnośląskie,63.0,70.0,70.2,75.0,80.0,84.8,81.9,84.8,88.7,89.2,86.2,89.2,94.6,95.8
Kujawsko-Pomorskie,52.7,60.4,61.7,67.4,72.4,77.6,72.8,76.0,79.2,82.0,77.9,81.7,86.0,88.5
Lubelskie,56.9,64.5,65.7,71.9,77.3,81.8,79.2,82.2,84.4,85.4,82.6,85.9,90.0,91.3
Lubuskie,63.4,68.9,68.1,72.7,77.9,83.2,78.7,82.1,85.1,87.4,83.6,87.1,92.9,94.0
Łódzkie,64.3,70.5,70.9,75.4,80.8,84.7,81.8,85.1,86.8,88.4,85.9,89.5,93.4,94.9
Małopolskie,61.4,68.8,69.8,73.4,78.9,84.1,82.0,85.9,88.3,89.7,85.6,88.6,92.9,94.3
Mazowieckie,68.3,76.1,75.6,80.2,84.5,89.6,88.0,91.6,93.5,93.5,90.0,92.5,97.0,98.2
Opolskie,76.6,78.9,77.9,81.0,86.5,89.7,87.5,89.7,90.6,91.6,88.2,90.7,95.3,96.4
Podkarpackie,54.3,61.7,63.8,68.2,73.6,79.3,77.3,81.5,84.9,86.2,81.8,85.7,89.6,91.5
Podlaskie,56.8,65.8,67.2,70.3,75.3,81.3,78.9,83.1,85.5,87.9,83.4,86.7,91.5,93.9
Pomorskie,56.8,64.7,66.1,70.4,75.1,80.3,76.3,80.5,83.5,84.9,81.7,84.9,89.2,91.2
Śląskie,70.5,74.4,74.4,77.5,83.6,87.9,82.8,86.4,89.0,90.1,88.4,90.6,95.1,96.3
Świętokrzyskie,57.5,63.7,64.3,71.0,76.4,80.6,76.8,80.3,83.5,85.2,81.7,86.0,89.3,91.5
Warmińsko-Mazurskie,52.0,60.1,60.4,64.7,69.7,74.8,70.7,74.6,78.6,81.1,78.5,82.0,85.7,87.6
Wielkopolskie,68.0,73.0,73.7,77.6,83.5,87.6,84.2,87.5,89.7,90.3,87.3,90.2,94.9,95.9
Zachodniopomorskie,59.5,65.7,65.9,70.2,75.8,79.9,76.7,81.0,84.2,85.9,82.4,85.6,90.0,91.7
