REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
POLSKA,48,53,58,62,58,54,52,48,45,39,41,38,33,30,28
DOLNOŚLĄSKIE,47,49,54,56,51,45,43,39,37,32,34,30,27,25,23
KUJAWSKO-POMORSKIE,73,81,88,94,91,84,86,83,79,68,72,65,57,52,49
LUBELSKIE,63,70,77,82,77,75,73,69,67,61,62,56,52,45,41
LUBUSKIE,55,58,60,64,55,49,47,43,39,31,35,30,24,21,20
ŁÓDZKIE,33,37,43,47,45,43,43,41,39,34,35,33,29,27,26
MAŁOPOLSKIE,36,41,46,49,47,44,40,38,36,31,33,30,27,24,21
MAZOWIECKIE,32,39,45,50,48,45,45,42,40,35,36,33,30,25,23
OPOLSKIE,50,53,56,57,53,50,50,48,43,40,43,41,37,34,31
PODKARPACKIE,74,81,86,90,87,80,77,74,69,63,67,63,55,49,46
PODLASKIE,47,51,55,59,57,55,55,52,50,45,46,43,39,36,32
POMORSKIE,43,51,58,61,58,51,49,42,40,35,39,36,31,29,27
ŚLĄSKIE,36,42,46,49,46,43,39,36,31,24,28,24,20,18,16
ŚWIĘTOKRZYSKIE,66,70,73,76,71,64,62,57,57,53,54,48,42,38,35
WARMIŃSKO-MAZURSKIE,83,88,94,97,90,84,81,76,71,61,63,56,51,46,42
WIELKOPOLSKIE,35,38,44,47,44,38,36,31,27,23,26,23,20,19,18
ZACHODNIOPOMORSKIE,72,78,82,82,74,68,61,57,52,46,50,46,42,39,37
