REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,47.0,46.86,49.0,48.78,48.89,48.65,48.55,48.2,47.31,43.46,43.99,44.44,43.47,42.83
Dolnośląskie,48.42,48.38,50.84,51.8,51.25,51.1,51.31,50.43,50.53,45.35,45.71,46.26,46.26,45.29
Kujawsko-Pomorskie,42.97,43.0,45.35,46.08,47.33,47.2,47.31,47.02,46.16,42.79,42.3,42.72,41.85,41.87
Lubelskie,51.82,52.0,54.65,53.35,52.93,52.84,52.76,52.63,51.89,47.36,52.2,51.86,51.4,47.58
Lubuskie,40.96,41.24,44.34,43.75,43.55,43.24,42.73,43.28,42.18,39.32,42.0,41.09,39.42,38.62
Łódzkie,53.23,52.92,52.02,53.43,53.08,52.07,51.41,51.59,50.79,46.91,47.57,48.5,46.92,48.03
Małopolskie,42.78,42.91,44.58,44.24,44.46,44.06,44.11,44.19,43.68,40.31,39.44,40.28,39.63,39.12
Mazowieckie,45.92,46.07,49.53,49.89,49.01,48.47,48.9,48.38,47.69,44.31,44.03,45.48,43.03,42.13
Opolskie,43.13,43.21,49.23,49.08,48.53,46.22,47.74,46.15,44.78,39.07,42.08,46.13,44.8,43.02
Podkarpackie,44.91,44.89,47.42,47.81,48.32,48.17,48.61,48.0,46.66,43.95,43.15,43.47,41.85,41.93
Podlaskie,49.61,47.45,48.81,48.96,49.44,49.91,50.77,50.35,49.83,43.16,46.7,48.42,46.29,46.53
Pomorskie,38.27,37.41,39.6,41.2,40.54,41.19,39.38,39.82,39.0,35.98,36.53,33.54,33.16,33.0
Śląskie,56.07,55.27,56.33,56.31,56.17,55.85,55.75,55.17,54.46,51.55,51.38,50.81,49.81,49.36
Świętokrzyskie,50.25,50.44,51.66,48.9,49.95,50.22,50.38,49.09,46.08,43.34,45.05,46.34,44.15,44.66
Warmińsko-Mazurskie,41.17,43.25,46.18,46.13,45.98,46.32,47.04,46.79,44.86,43.87,46.05,46.74,46.37,45.8
Wielkopolskie,45.36,45.19,46.55,42.28,45.11,45.34,44.3,44.71,43.11,37.42,37.09,37.63,39.01,38.16
Zachodniopomorskie,45.17,44.96,48.72,48.89,48.69,48.34,47.85,46.29,46.1,40.54,41.55,42.74,41.5,40.64
