REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,,,,,,,85,84,47,40
Dolnośląskie,,,,,,,,,,,92,92,56,52
Kujawsko-Pomorskie,,,,,,,,,,,91,81,65,57
Lubelskie,,,,,,,,,,,95,80,50,47
Lubuskie,,,,,,,,,,,93,88,40,79
Łódzkie,,,,,,,,,,,85,88,35,30
Małopolskie,,,,,,,,,,,86,84,64,57
Mazowieckie,,,,,,,,,,,84,84,48,21
Opolskie,,,,,,,,,,,93,94,40,36
Podkarpackie,,,,,,,,,,,86,91,92,69
Podlaskie,,,,,,,,,,,57,53,85,84
Pomorskie,,,,,,,,,,,75,72,33,28
Śląskie,,,,,,,,,,,89,89,44,37
Świętokrzyskie,,,,,,,,,,,74,85,50,58
Warmińsko-Mazurskie,,,,,,,,,,,72,66,59,66
Wielkopolskie,,,,,,,,,,,87,94,33,31
Zachodniopomorskie,,,,,,,,,,,65,55,37,47
