year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,25592,30616,21341,11247,24047,21787,18989,37918,18334,14457,13857,27841,39353,16166,15294,30161,14969
2011,29522,34443,23624,13181,25100,25680,22296,43439,20409,16633,15979,34179,44711,18845,18570,34842,18982
2012,30578,36932,23754,14044,25240,27765,23728,45538,21123,17390,16323,36922,43466,18896,18797,36173,19742
2013,30724,36407,23846,14702,25949,27519,22926,47351,21048,17939,17493,35369,41367,18544,19251,38530,19989
2014,31443,37344,24332,14973,29236,27987,24265,47106,22042,17952,18372,36871,41573,19138,19522,40699,19934
2015,32649,39198,26408,15946,29840,29822,25800,46246,24119,18538,18435,35704,44789,19126,20328,42785,22524
2016,33880,40177,26014,17180,32317,30434,26547,46107,25460,20531,19484,37525,47248,19431,21795,45735,23292
2017,36886,42326,28816,17770,34520,32987,28922,50499,28413,22458,23322,39988,51934,22575,23759,49950,24167
2018,39592,44670,30980,18662,37296,34979,30614,57234,31476,23563,24181,42737,54864,25013,25131,51734,25984
2019,42077,48423,32159,20223,39049,35417,34126,59796,33950,26511,27129,46815,55143,26662,26865,56926,28183
2020,41382,52037,33592,20224,38844,37763,32863,58715,34103,25844,28618,40473,51430,27061,24043,54412,30029
2021,51266,66360,40222,25034,48188,45489,42742,73849,43463,31895,33119,52251,63764,32530,29674,63975,35102
2022,67208,81765,52369,32603,59346,59361,51706,108144,53932,42410,44021,62894,85688,41114,37109,78464,45964
2023,67835,86423,49271,32996,57334,64652,53269,109783,52162,42180,43727,56839,86932,43481,35450,80025,42987
2024,64078,78473,46164,33374,51237,61686,53294,101133,47918,43124,43506,56241,79559,40983,33687,77486,40461
