REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,29.6,27.7,29.6,30.0,26.5,26.9
Dolnośląskie,,,,,,,,,,20.2,17.8,18.7,19.2,18.0,19.0
Kujawsko-Pomorskie,,,,,,,,,,14.7,14.2,14.2,14.4,14.5,14.7
Lubelskie,,,,,,,,,,11.8,11.7,12.3,12.0,11.3,11.5
Lubuskie,,,,,,,,,,6.3,6.4,6.4,6.3,6.3,6.4
Łódzkie,,,,,,,,,,15.6,15.1,15.9,16.2,15.2,15.6
Małopolskie,,,,,,,,,,29.1,29.9,28.8,29.2,24.3,26.0
Mazowieckie,,,,,,,,,,70.6,70.3,80.2,81.9,69.5,70.6
Opolskie,,,,,,,,,,15.0,14.9,14.2,13.8,13.3,13.6
Podkarpackie,,,,,,,,,,14.9,13.9,9.6,12.3,13.3,14.2
Podlaskie,,,,,,,,,,5.0,5.0,5.0,4.9,5.1,5.1
Pomorskie,,,,,,,,,,11.4,11.3,11.7,11.9,10.6,11.0
Śląskie,,,,,,,,,,32.7,22.5,35.0,34.9,34.3,34.5
Świętokrzyskie,,,,,,,,,,118.8,89.7,107.4,113.7,100.6,95.7
Warmińsko-Mazurskie,,,,,,,,,,5.7,4.9,5.0,4.8,4.8,4.8
Wielkopolskie,,,,,,,,,,44.8,44.2,42.4,41.5,30.6,33.1
Zachodniopomorskie,,,,,,,,,,42.7,42.9,42.1,40.2,40.2,39.2
