REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,2.13,2.25,1.96,2.24,1.88,1.89,1.77,1.73,1.71,1.52,0.66,0.76,1.24,1.80
Dolnośląskie,1.44,1.89,1.51,2.13,1.65,1.96,1.58,1.76,1.76,1.14,0.48,0.83,0.93,1.39
Kujawsko-Pomorskie,2.72,2.53,1.86,1.96,1.77,2.68,2.93,1.73,1.54,1.69,1.08,0.89,1.94,1.80
Lubelskie,1.70,2.25,1.48,1.81,1.53,1.49,1.12,1.36,1.51,1.04,0.73,0.73,0.94,0.79
Lubuskie,2.54,2.54,2.25,1.66,2.45,1.86,2.26,1.48,2.07,1.97,0.70,0.40,1.32,2.46
Łódzkie,1.85,1.62,1.86,2.11,2.31,1.84,1.33,1.73,1.70,1.67,0.58,0.37,1.17,1.65
Małopolskie,2.16,1.59,1.79,2.23,1.40,1.90,1.66,1.51,1.15,1.23,0.61,0.70,1.60,2.42
Mazowieckie,2.07,1.93,1.68,2.03,1.58,1.27,1.33,1.54,1.52,1.13,0.34,0.60,1.07,1.63
Opolskie,2.65,3.05,1.88,1.69,2.29,2.30,1.71,1.72,2.13,1.52,0.94,0.84,1.80,1.38
Podkarpackie,1.74,3.20,2.30,2.02,1.50,1.46,1.55,1.93,2.11,1.74,0.81,0.38,1.30,1.40
Podlaskie,2.91,2.41,2.50,3.18,1.76,1.68,1.18,1.43,0.76,1.10,0.43,0.87,0.87,1.58
Pomorskie,2.77,2.76,2.27,3.53,2.83,2.17,2.81,2.20,1.93,2.01,0.55,0.98,1.27,2.50
Śląskie,2.24,2.53,2.75,2.28,1.98,2.10,1.58,1.52,1.81,1.75,0.59,0.87,1.26,2.05
Świętokrzyskie,2.65,2.73,1.96,2.20,2.45,1.75,1.67,1.20,2.17,2.10,0.66,0.50,0.76,1.62
Warmińsko-Mazurskie,2.27,2.55,3.17,3.31,2.08,2.57,2.36,1.67,1.40,1.33,0.79,0.94,1.75,2.20
Wielkopolskie,1.92,2.12,1.19,1.96,1.79,1.61,2.01,2.32,1.89,1.89,0.91,1.03,1.03,1.83
Zachodniopomorskie,1.74,1.97,1.80,2.33,2.04,2.80,2.28,2.52,2.47,1.71,1.20,1.09,1.28,1.89
