year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,65.7,73.5,80.6,78.5,96.1,72.7,43.6,79.9,30.6,84.4,98.0,95.3,46.6,48.3,98.1,55.5,96.7
2011,64.8,77.6,81.7,81.8,96.0,72.6,39.2,76.8,32.9,85.3,98.0,95.4,45.8,51.3,98.5,50.1,96.7
2012,67.4,80.0,82.7,82.5,96.8,76.1,42.5,87.4,39.6,87.3,97.6,95.2,46.2,45.8,98.3,47.7,97.0
2013,69.8,80.3,82.6,80.2,96.8,81.1,41.3,95.1,56.7,87.8,97.6,95.2,46.4,40.9,98.1,54.4,96.3
2014,70.5,80.6,82.1,78.7,97.3,86.7,42.4,95.8,56.9,89.8,97.7,94.8,46.0,54.5,98.2,53.7,95.5
2015,70.9,80.0,82.5,81.2,97.7,89.0,44.9,95.5,58.2,90.2,97.7,94.7,46.2,56.8,98.8,51.8,95.8
2016,71.4,82.2,81.4,83.4,97.6,87.8,46.8,97.1,63.3,90.3,98.4,95.5,46.8,57.4,96.8,49.7,95.2
2017,72.5,80.6,81.1,82.7,97.2,95.9,47.4,97.2,59.9,89.9,99.2,95.0,47.0,59.7,96.7,55.0,94.9
2018,73.2,84.9,81.0,80.4,96.9,95.9,47.2,96.9,62.4,90.3,99.3,95.2,47.2,58.1,95.0,58.5,94.9
2019,73.9,83.3,82.5,80.2,97.2,94.5,48.0,95.4,60.9,91.4,99.2,95.3,46.9,62.1,92.8,66.0,95.1
2020,73.3,81.7,82.1,78.9,97.3,94.7,49.0,92.7,60.0,92.2,99.1,95.3,45.5,60.8,94.2,66.4,95.3
2021,72.8,78.6,81.9,79.8,96.9,94.5,49.8,92.6,59.5,93.4,99.0,95.0,45.1,59.5,98.3,63.7,95.5
2022,76.3,77.5,82.1,82.3,97.4,92.7,87.2,95.1,61.0,93.5,99.4,95.5,43.2,57.2,98.5,63.7,95.5
2023,78.1,74.6,83.6,82.5,98.3,92.7,88.1,95.1,58.5,93.0,99.1,95.0,44.3,67.3,98.4,76.0,94.6
2024,78.6,69.0,84.8,83.0,98.4,93.1,89.3,95.1,58.9,93.1,99.4,96.8,42.9,68.7,98.4,90.4,95.0
