REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,1.3,1.4,4.0,0.9,1.0,0.9
Dolnośląskie,,,,,,,,,,1.3,0.6,0.5,0.8,0.6,0.8
Kujawsko-Pomorskie,,,,,,,,,,2.5,2.1,3.3,2.9,3.7,2.4
Lubelskie,,,,,,,,,,0.8,0.7,0.8,0.7,1.2,1.2
Lubuskie,,,,,,,,,,0.3,0.4,0.0,0.0,1.9,0.0
Łódzkie,,,,,,,,,,0.2,0.1,0.4,0.1,0.4,0.3
Małopolskie,,,,,,,,,,0.5,0.8,0.8,0.7,0.6,0.5
Mazowieckie,,,,,,,,,,2.1,2.8,13.6,1.8,2.4,2.0
Opolskie,,,,,,,,,,0.3,1.0,1.2,0.0,0.0,0.0
Podkarpackie,,,,,,,,,,0.5,0.6,0.9,0.8,1.3,1.0
Podlaskie,,,,,,,,,,14.4,21.5,19.4,0.9,0.9,1.1
Pomorskie,,,,,,,,,,1.6,2.8,1.4,3.0,5.2,7.6
Śląskie,,,,,,,,,,2.0,2.4,3.3,0.6,0.5,0.4
Świętokrzyskie,,,,,,,,,,1.1,1.8,1.9,1.6,1.6,2.2
Warmińsko-Mazurskie,,,,,,,,,,1.0,1.6,0.2,0.5,1.4,2.3
Wielkopolskie,,,,,,,,,,4.2,0.3,1.3,0.9,0.7,0.7
Zachodniopomorskie,,,,,,,,,,0.2,0.2,0.5,0.3,0.4,0.2
