REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,7.1,7.2,6.8,6.6,6.1,6.2,6.4,6.4,6.4,5.9,5.8,6.3,5.9,6.5,6.5
Dolnośląskie,7.7,7.6,7.0,6.5,6.5,6.4,6.5,6.2,6.5,5.6,5.4,5.4,4.5,4.3,4.5
Kujawsko-Pomorskie,4.7,4.8,4.6,4.7,4.8,4.9,5.1,5.5,5.5,5.4,3.0,3.4,3.4,3.2,3.2
Lubelskie,6.6,6.9,6.4,5.8,5.4,5.1,5.3,5.5,6.1,4.2,6.9,9.4,9.1,8.5,7.5
Lubuskie,2.3,2.0,1.7,1.6,1.6,1.8,1.7,1.8,1.4,1.2,1.0,0.7,0.6,0.6,0.7
Łódzkie,5.8,6.1,5.4,5.3,4.6,4.7,4.9,5.7,5.4,4.7,3.2,3.4,3.9,3.3,3.4
Małopolskie,8.3,8.3,7.5,7.1,6.3,6.5,6.6,6.3,6.1,5.6,5.0,5.7,5.3,5.3,5.6
Mazowieckie,15.3,16.7,16.6,17.0,15.8,15.2,16.3,15.6,15.8,16.3,18.1,19.7,18.2,22.8,22.0
Opolskie,4.7,4.7,4.4,4.5,4.5,5.0,4.8,6.9,6.3,6.0,5.6,3.7,3.7,5.6,9.9
Podkarpackie,3.4,3.4,3.1,2.9,2.4,2.5,2.4,2.4,2.0,1.7,1.7,1.6,1.3,1.2,1.5
Podlaskie,4.5,4.0,3.6,3.1,2.7,2.7,2.7,2.1,3.5,2.7,1.9,2.2,1.7,1.5,1.5
Pomorskie,6.4,6.5,6.0,5.6,5.6,5.9,6.0,5.9,5.7,4.9,4.4,4.4,3.8,3.9,3.7
Śląskie,4.9,4.6,4.0,4.0,3.9,4.2,4.5,4.8,4.7,4.2,3.3,3.7,3.7,3.5,3.8
Świętokrzyskie,4.9,4.6,4.4,2.7,2.6,3.6,3.9,4.2,4.1,3.4,2.5,2.5,3.0,2.7,3.2
Warmińsko-Mazurskie,5.2,5.0,5.1,3.6,2.9,3.3,3.3,2.9,2.6,1.8,1.5,1.6,1.4,1.4,1.6
Wielkopolskie,6.5,6.4,5.8,5.6,5.3,5.2,5.2,5.0,4.6,4.0,3.6,4.0,3.9,3.7,4.0
Zachodniopomorskie,5.5,6.2,5.6,5.2,4.4,4.5,3.8,4.2,4.1,4.0,4.2,3.2,2.6,2.7,2.4
