REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Dolnośląskie,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Kujawsko-Pomorskie,4,4,4,4,4,4,4,4,4,4,4,4,5,5
Lubelskie,4,4,4,4,4,4,4,4,4,4,4,5,5,5
Lubuskie,3,3,3,4,4,4,4,4,4,4,3,4,4,4
Łódzkie,4,4,4,4,4,4,4,4,4,4,4,5,5,5
Małopolskie,3,3,3,3,3,3,4,4,4,4,3,4,4,4
Mazowieckie,3,3,3,3,3,3,3,3,4,4,3,4,4,4
Opolskie,3,3,3,4,4,4,4,4,4,4,3,4,4,4
Podkarpackie,3,3,3,4,4,4,4,4,4,4,3,4,4,4
Podlaskie,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Pomorskie,3,3,3,3,4,4,4,4,4,4,3,4,4,4
Śląskie,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Świętokrzyskie,4,4,3,4,4,4,4,4,4,4,4,4,4,4
Warmińsko-Mazurskie,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Wielkopolskie,3,4,4,4,4,4,4,4,4,4,4,4,5,5
Zachodniopomorskie,4,4,4,4,4,4,4,4,4,4,4,4,5,5
