year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,55,3,6,0,3,0,4,7,0,2,1,0,11,0,9,1,8
2012,78,8,5,2,4,5,4,13,2,5,2,0,7,3,5,1,12
2013,86,5,4,2,2,4,5,21,1,5,2,0,12,3,9,2,9
2014,81,4,5,2,2,5,5,15,2,5,2,0,10,3,9,2,10
2015,94,5,4,3,6,5,5,17,2,5,2,0,15,3,10,2,10
2016,92,6,8,4,6,6,4,18,2,5,3,1,7,3,9,2,8
2017,88,6,12,4,6,6,2,18,2,5,0,0,7,2,10,3,5
2018,80,5,12,4,6,3,2,10,2,6,1,1,5,4,11,3,5
2019,76,7,12,3,6,3,2,6,2,6,1,1,5,3,3,11,5
2020,80,8,12,3,5,4,2,6,2,7,1,1,5,5,3,11,5
2021,80,11,8,4,6,4,2,4,2,7,1,1,7,5,3,10,5
2022,66,8,5,3,1,3,2,3,3,8,1,1,7,5,3,8,5
2023,67,8,5,3,1,4,2,4,4,8,1,2,7,5,3,7,3
2024,72,8,5,4,1,4,3,4,4,8,1,4,7,5,3,8,3
