REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,,35703,29604,31865,32070,36974,30731,31311,34424,36692
Dolnośląskie,,,,,,2267,2194,2068,2219,2637,2073,2129,2279,2447
Kujawsko-Pomorskie,,,,,,1649,1599,2055,1866,2246,1765,1809,1822,2094
Lubelskie,,,,,,3093,2623,2732,2542,3345,2832,2953,3021,3017
Lubuskie,,,,,,296,146,124,143,52,110,163,219,307
Łódzkie,,,,,,2562,2046,2280,2526,2637,2450,2572,2794,3135
Małopolskie,,,,,,3510,3172,3461,3185,3432,2601,2551,2687,2517
Mazowieckie,,,,,,5306,4060,3602,4172,4643,3756,4261,4892,5985
Opolskie,,,,,,823,630,759,734,825,512,543,636,589
Podkarpackie,,,,,,1355,1364,1381,1419,1705,1351,1274,1892,1601
Podlaskie,,,,,,1481,1306,1346,1269,1578,1421,1272,1584,1867
Pomorskie,,,,,,1975,1383,1694,1655,1868,1889,1759,2000,1946
Śląskie,,,,,,4543,3501,3961,4017,4854,4629,4536,5040,5343
Świętokrzyskie,,,,,,1573,895,1197,1221,1907,977,970,876,1140
Warmińsko-Mazurskie,,,,,,631,549,630,664,937,726,658,815,690
Wielkopolskie,,,,,,3399,3026,3508,3167,3110,2549,2922,2771,2880
Zachodniopomorskie,,,,,,1240,1110,1067,1271,1198,1090,939,1096,1134
